experiment_id,scenario_generator,scenario_variant_id,seed,method,time_s,entity,entity_id,robot_index,assigned_load_label,active,battery_fraction,x,y,theta_rad,vx,vy,target_x,target_y,target_theta_rad,wrench_margin,wrench_residual_norm,support_level,paused,degraded_speed,event_phase
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,robot,amr-05,5,0,True,0.773240224216139,5.643601882609393,-0.4006662592041534,,0.008438716440458205,-0.025900338464719504,5.643601882609393,-0.4006662592041534,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,robot,amr-06,6,1,True,0.8067151798066167,-0.6232779766847224,-4.599112951409081,,0.23989765671951138,0.3410732783075941,-0.45844625192230065,-4.293882788971385,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,robot,amr-07,7,0,True,0.770721063560878,6.045412506643545,0.7015751044496109,,0.00902132743789427,0.024747181040854067,6.045412506643545,0.7015751044496109,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,robot,amr-08,8,1,True,0.7392244088132276,-1.28232972028666,-4.321848097424221,,0.49216872381003773,0.5029522736756554,-0.7360112755344486,-3.819058971469369,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,load,load-01,,1,,,0.18148229697493162,-3.6012642414964544,0.5289923524744315,0.3973680579047412,0.4759187184352103,5.76,3.0800000000000005,0.4537856055185257,0.0,0.0,1.0,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,load,load-02,,2,,,5.453976952482468,-0.002270855056715638,0.3252269505650349,0.0,0.0,5.76,-0.0,0.3141592653589793,0.0,0.0,1.0,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,load,load-03,,3,,,-0.37498940859215124,4.3889295487837,0.20074056998960987,0.3935306779162024,-0.47909665573745586,5.76,-3.0800000000000005,0.17453292519943295,0.07191716307653917,0.0,1.0719171630765392,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,robot,amr-01,1,3,True,0.6414404261983679,-1.256205027895598,3.8731014704194004,,0.3985870130225169,-0.38327611042033594,-0.9207480912151109,3.5900858613001,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,robot,amr-02,2,0,True,0.7725570532349474,4.284549305316066,-0.31084573376234287,,-0.01649164323787695,0.001299873338090474,4.284549305316066,-0.31084573376234287,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,robot,amr-03,3,3,True,0.7137469493046353,-1.3663675828691308,4.586420506207362,,0.3780769968523074,-0.4936806115412144,-1.039636922384098,4.127082552000585,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,robot,amr-04,4,3,True,0.6217895797797048,0.3139442490351876,4.199129160223796,,0.3892895348719576,-0.3885464010607273,0.6398528762313472,3.86902244980218,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,robot,amr-05,5,0,True,0.7730243619709507,5.649460199221152,-0.4184281774439744,,0.008255264090096462,-0.024591063177920737,5.649460199221152,-0.4184281774439744,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,robot,amr-06,6,1,True,0.8030016534095676,-0.4037874701105077,-4.3453747327258805,,0.257392144756088,0.4715482844784365,-0.2199114375310538,-3.9219092760508705,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,robot,amr-07,7,0,True,0.7704324235859774,6.051503266503323,0.7184866289099908,,0.00823637914778049,0.023291189839830265,6.051503266503323,0.7184866289099908,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,robot,amr-08,8,1,True,0.7317338776623563,-0.9905727455078214,-3.936830927758899,,0.4766973288074411,0.5176395454369411,-0.46907352009780134,-3.4315846319516763,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,load,load-01,,1,,,0.4596399375082505,-3.268121138591807,0.4701521904393524,0.3973680579047412,0.4759187184352103,5.76,3.0800000000000005,0.4537856055185257,0.0,0.0,1.0,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,load,load-02,,2,,,5.453976952482468,-0.002270855056715638,0.3252269505650349,0.0,0.0,5.76,-0.0,0.3141592653589793,0.0,0.0,1.0,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.900000000000002,load,load-03,,3,,,-0.09951793405080947,4.053561889767481,0.2178813105685049,0.39353067791620255,-0.47909665573745586,5.76,-3.0800000000000005,0.17453292519943295,0.06211463752891988,0.0,1.0621146375289199,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,robot,amr-01,1,3,True,0.6365439355153668,-0.9739042602606274,3.5633316078764175,,0.3898772423613243,-0.4103602891649712,-0.6468652251368296,3.2575443865838465,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,robot,amr-02,2,0,True,0.7724174529247448,4.273268855892956,-0.30990274388764294,,-0.015556829617776876,0.0014114624697727969,4.273268855892956,-0.30990274388764294,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,robot,amr-03,3,3,True,0.7090346988770921,-1.1030661086475115,4.266568564329421,,0.3913107909673925,-0.5080741088339908,-0.7639071225449399,3.7949466514200765,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,19.6,robot,amr-04,4,3,True,0.6159668272726275,0.5873124175601923,3.9093288091155136,,0.3912258947575425,-0.4452020033639238,0.9146855218306529,3.531113874365831,,,,,,,post_event
