scenario,seed,n_robots,world_hash,method,stage,barrier_violation_rate,max_barrier_residual,is_executed_trajectory
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,centralized_preview_reference,SAFE,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,centralized_preview_reference,EXEC,0.0,0.0,1
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,pose_pd_raw,RAW,0.14285714285714285,1.3160674047442587,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,pose_pd_raw,SAFE,0.14285714285714285,1.3160674047442587,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,pose_pd_raw,EXEC,0.14285714285714285,1.3160674047442587,1
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,apf_wrench_heuristic,RAW,0.16666666666666666,0.8730715427990658,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,apf_wrench_heuristic,SAFE,0.16666666666666666,0.8730715427990658,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,apf_wrench_heuristic,EXEC,0.16666666666666666,0.8730715427990658,1
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,velocity_obstacle_proxy,RAW,0.14285714285714285,1.0730351448542337,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,velocity_obstacle_proxy,SAFE,0.14285714285714285,1.0730351448542337,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,velocity_obstacle_proxy,EXEC,0.14285714285714285,1.0730351448542337,1
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,cbf_wrench_local,RAW,0.3382899628252788,0.29247728496432235,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,cbf_wrench_local,SAFE,0.0,2.7755575615628914e-17,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,cbf_wrench_local,EXEC,0.0,2.7755575615628914e-17,1
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,damped_hamiltonian_raw,RAW,0.11428571428571428,1.1166419856906313,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,damped_hamiltonian_raw,SAFE,0.11428571428571428,1.1166419856906313,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,damped_hamiltonian_raw,EXEC,0.11428571428571428,1.1166419856906313,1
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,damped_hamiltonian_cbf,RAW,0.32432432432432434,0.25920210534489485,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,damped_hamiltonian_cbf,SAFE,0.0,1.6479873021779667e-17,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,damped_hamiltonian_cbf,EXEC,0.0,1.6479873021779667e-17,1
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,distributed_preview_cbf,RAW,0.3333333333333333,0.24653340544684021,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,distributed_preview_cbf,SAFE,0.0,2.2551405187698492e-17,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,distributed_preview_cbf,EXEC,0.0,1.1102230246251565e-16,1
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,centralized_preview_reference,RAW,0.3433333333333333,0.2649004098527835,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,centralized_preview_reference,SAFE,0.0,2.2551405187698492e-17,0
static_corridor,573000,4,85f906fe492829f47be0b5599fd65eb88395e284199b228a7785c8ce1d055c91,centralized_preview_reference,EXEC,0.0,2.2551405187698492e-17,1
static_corridor,573001,4,4990075b068d4cc18c0bb9689124d001811f7604f4b83163a3671feb2c8b3a49,pose_pd_raw,RAW,0.11428571428571428,1.2132267044822667,0
static_corridor,573001,4,4990075b068d4cc18c0bb9689124d001811f7604f4b83163a3671feb2c8b3a49,pose_pd_raw,SAFE,0.11428571428571428,1.2132267044822667,0
