experiment,world_id,world_seed,treatment_seed,replicate,N_original,N_active,K,M,reserve_delta,failure_fraction_nominal,failure_fraction_realized,failure_count,recovery_feasible,theoretical_recoverable,theory_agreement,assignment_churn,relative_cost_increase,solver_ms,total_ms
failure,35e0731ac97c65d3d525,3576468283,1700046704,25,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.10526315789473684,,0.028,1.0947
failure,35e0731ac97c65d3d525,3576468283,1346078493,25,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.19444444444444445,,0.0245,1.1615
failure,35e0731ac97c65d3d525,3576468283,2208545913,25,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.3125,,0.019,0.9791
failure,35e0731ac97c65d3d525,3576468283,4200390847,25,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.32142857142857145,,0.0154,0.8683
failure,2045ab1c06b97b2612ec,628739352,1428788579,26,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0414,1.1973
failure,2045ab1c06b97b2612ec,628739352,431779324,26,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.15789473684210525,,0.0358,1.1354
failure,2045ab1c06b97b2612ec,628739352,4031035462,26,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.3333333333333333,,0.0281,1.1071
failure,2045ab1c06b97b2612ec,628739352,298980229,26,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.25,,0.0237,0.9748
failure,2045ab1c06b97b2612ec,628739352,3314906740,26,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.39285714285714285,,0.0217,0.8835
failure,79c52fdf244b2d19612e,3536783406,3784778056,27,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0443,1.2712
failure,79c52fdf244b2d19612e,3536783406,4287143756,27,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.15789473684210525,,0.0364,1.1331
failure,79c52fdf244b2d19612e,3536783406,204647714,27,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1388888888888889,,0.0369,1.0721
failure,79c52fdf244b2d19612e,3536783406,4244059776,27,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.15625,,0.027,0.9697
failure,79c52fdf244b2d19612e,3536783406,3406541449,27,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.35714285714285715,,0.0175,0.888
failure,b2a39aa5fa1e79f859e2,3760954855,1170307943,28,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.1406,1.433
failure,b2a39aa5fa1e79f859e2,3760954855,923625570,28,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.05263157894736842,,0.0794,1.5159
failure,b2a39aa5fa1e79f859e2,3760954855,3231040798,28,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1388888888888889,,0.0233,1.1074
failure,b2a39aa5fa1e79f859e2,3760954855,3105727948,28,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.28125,,0.0164,0.5269
failure,b2a39aa5fa1e79f859e2,3760954855,716307946,28,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.2857142857142857,,0.013,0.4688
failure,11781f9cb08a2afebe2d,1117205464,1925647744,29,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0365,0.7725
failure,11781f9cb08a2afebe2d,1117205464,2506077745,29,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.07894736842105263,,0.0273,0.6278
failure,11781f9cb08a2afebe2d,1117205464,1155305956,29,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1111111111111111,,0.036,1.1548
failure,11781f9cb08a2afebe2d,1117205464,1962358234,29,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.25,,0.0258,1.0157
failure,11781f9cb08a2afebe2d,1117205464,997100344,29,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.2857142857142857,,0.0163,1.0484
failure,0915c9c965d42d4e3476,3186892978,3936947150,30,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0317,0.6596
failure,0915c9c965d42d4e3476,3186892978,137999192,30,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.18421052631578946,,0.0297,0.6884
failure,0915c9c965d42d4e3476,3186892978,2362373460,30,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.25,,0.0221,0.6483
failure,0915c9c965d42d4e3476,3186892978,247207912,30,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.25,,0.015,0.5218
failure,0915c9c965d42d4e3476,3186892978,540377021,30,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.5357142857142857,,0.0119,0.4703
failure,3d7be0e73264d0e66cec,3351400422,2320006853,31,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0427,0.8537
failure,3d7be0e73264d0e66cec,3351400422,2343967804,31,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.02631578947368421,,0.0349,0.7308
failure,3d7be0e73264d0e66cec,3351400422,3241093738,31,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.19444444444444445,,0.0378,1.0628
failure,3d7be0e73264d0e66cec,3351400422,1108568799,31,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.34375,,0.0357,1.0921
failure,3d7be0e73264d0e66cec,3351400422,2841836348,31,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.21428571428571427,,0.0267,0.8677
failure,f056da8a2e9a8f798d53,2726586407,3735179415,32,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0306,1.2038
failure,f056da8a2e9a8f798d53,2726586407,214357347,32,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.07894736842105263,,0.0303,1.201
