study,seed,N,N_original,K,M,requested_delta,observed_delta,capacity_delta,quota_mode,spatial_mode,capacity_mode,treatment,failure_count,failed_robot_was_assigned,total_capacity_kg,total_demand_kg,capacity_mean_kg,capacity_std_kg,capacity_cv,capacity_min_kg,capacity_max_kg,quota_cv,milp_feasible,milp_optimal,milp_status,milp_message,milp_mip_gap,milp_node_count,milp_assigned_robot_count,milp_idle_robot_count,milp_robot_utilization,milp_total_distance,milp_mean_distance_per_assigned_robot,milp_normalized_mean_distance_per_assigned_robot,milp_distance_per_nominal_slot,milp_normalized_distance_p95,milp_total_excess_kg,milp_objective_value,milp_matrix_bytes,milp_binary_variable_count,milp_constraint_count,milp_solver_wall_ns,milp_total_wall_ns,milp_total_cpu_ns,base_milp_total_distance,relative_distance_increase,assignment_churn,central_logical_messages,central_communication_bytes,retry_messages
asymmetry,1129583576,240,240,53,160,0.2,0.2,0.2799091656899376,high,separated,moderate,none,0,False,1200.0,675.133067514424,5.0,1.9204302398606694,0.38408604797213386,2.0061751610816208,13.891682883973635,1.111727259717958,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.021860702896295936,0,119,121,0.49583333333333335,6484.251384290397,54.489507431011745,0.38529900207983175,40.526571151814984,0.559851250472741,36.1939977635595,6493.418883731287,561704,12720,346,5054371700,5069815300,5718750000,nan,nan,nan,359,31960,0
asymmetry,1689333915,240,240,53,160,0.2,0.2,0.28954415052385096,high,separated,moderate,none,0,False,1199.9999999999998,661.1227843769823,5.0,1.8425778700871294,0.36851557401742585,1.4835615427053965,10.962667979371558,1.2989478915645538,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.009875385428876416,0,118,122,0.49166666666666664,7132.264795812682,60.44292199841256,0.42739600019807067,44.576654973829264,0.639211044006945,36.86645305810288,7141.599409077208,561704,12720,346,5072519400,5087358700,5640625000,nan,nan,nan,358,31910,0
asymmetry,2081492616,240,240,53,160,0.2,0.2,0.293186278223912,high,separated,moderate,none,0,False,1200.0000000000002,655.8811212381625,5.0,1.581194777145632,0.3162389554291264,1.8375946990973806,9.71163698485173,1.2764391387763068,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.02551675277474618,0,124,116,0.5166666666666667,7339.040001089577,59.18580646039982,0.4185068509814328,45.869000006809856,0.595848106406037,59.089028626212766,7353.93625824613,561704,12720,346,5066173000,5084100300,5546875000,nan,nan,nan,364,32129,0
asymmetry,1892230792,240,240,53,160,0.2,0.2,0.30020623479927766,high,separated,moderate,none,0,False,1200.0,645.8610147877852,5.0,1.760992330534802,0.35219846610696043,1.7495756108819764,10.248290606986538,1.9932111340748626,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.015368327219406374,0,119,121,0.49583333333333335,7412.226881219825,62.28762085058677,0.44043999087426494,46.32641800762391,0.6088641201935645,56.202492517191494,7426.396504349123,561704,12720,346,5059562100,5075514000,5453125000,nan,nan,nan,359,31948,0
asymmetry,3228351924,240,240,53,160,0.2,0.2,0.2815323572836661,high,separated,moderate,none,0,False,1200.0,672.7580200058593,5.0,1.6134091660089567,0.32268183320179133,1.6014818054474338,11.09825852562835,1.042532973099652,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.06015706444294562,0,128,112,0.5333333333333333,8185.643760445493,63.950341878480415,0.4521972040147156,51.160273502784335,0.6413557069084391,60.735799270675244,8200.955710263162,561704,12720,346,5084208600,5100087200,5812500000,nan,nan,nan,368,32294,0
asymmetry,4124222769,240,240,53,160,0.2,0.2,0.2831840722534189,high,separated,moderate,none,0,False,1199.9999999999998,670.3474052520958,5.0,1.678954598564021,0.3357909197128042,1.5562936651280739,12.446620022984515,0.9811504726595204,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.02771321270745096,0,122,118,0.5083333333333333,7817.036768061575,64.07407186935717,0.45307210717056656,48.85647980038484,0.6160541448740973,39.90948652668447,7827.136139693246,561704,12720,346,5074363500,5093046100,5328125000,nan,nan,nan,362,32037,0
asymmetry,1732400041,240,240,53,160,0.2,0.2,0.2898243032093368,high,separated,moderate,none,0,False,1200.0,660.7185444004486,5.0,1.8078218755371052,0.361564375107421,1.9930227408464298,13.047392716832578,1.365764437961393,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.10178546042951434,0,128,112,0.5333333333333333,7059.929773616555,55.15570135637934,0.3900097045019589,44.12456108510347,0.5580714294630981,78.56982011974641,7079.700228646491,561704,12720,346,5070106700,5083265600,5718750000,nan,nan,nan,368,32257,0
asymmetry,2983326620,240,240,53,160,0.2,0.2,0.27734214107906013,high,separated,moderate,none,0,False,1200.0,678.9014492018187,5.0,1.9343916845188245,0.3868783369037649,1.2257503156877407,11.995320385042085,1.1995116193684827,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.022202553076643212,0,120,120,0.5,7183.090934992805,59.85909112494004,0.42326769250108587,44.89431834370503,0.6272313531433557,40.450370016609455,7193.3235274969575,561704,12720,346,5078580000,5096188700,5406250000,nan,nan,nan,360,32012,0
asymmetry,2805414776,240,240,53,160,0.2,0.2,0.286912282443846,high,separated,moderate,none,0,False,1200.0000000000002,664.9289720371625,5.0,1.9403322675211587,0.38806645350423175,2.124448338182851,17.502182075276387,1.6106093567342767,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.009997749617557925,0,118,122,0.49166666666666664,6992.318812526006,59.25693908920344,0.4190098346233395,43.70199257828754,0.6741480795028111,47.88224964763334,7004.407374937915,561704,12720,346,5061243400,5075877700,5453125000,nan,nan,nan,358,31880,0
asymmetry,2643036075,240,240,53,160,0.2,0.2,0.2900857077949171,high,ring,moderate,none,0,False,1200.0,660.3415149077244,5.0,1.7917599159399238,0.3583519831879848,1.913664350720265,12.213760927054137,1.3210731906294972,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.02727513524621536,0,121,119,0.5041666666666667,3397.198977513287,28.076024607547826,0.19852747388757444,21.232493609458043,0.26924518179449886,63.30982264210496,3413.147433173813,561704,12720,346,5054835100,5071809000,5640625000,nan,nan,nan,361,31929,0
