cfg_protocol,cfg_safety,corridor_double,cpu_s,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,wall_pen_max
smith,coalition,0.0,202.46667969995178,12.447178808752714,0,185.55999999990374,-0.14294171030914862,-0.12722455061498472,1119792,2,164.30284052668833,0,6,1,13605,True,185.57999999990372,0.09022250331308257
smith,coalition,2.5000000000000018,362.8301143000135,18.503337216227262,0,141.1799999999441,-0.18417703687705905,-0.0872532881467607,1671647,1,164.48216171767052,0,6,2,25048,False,300.01999999979967,0.08147866907268031
smith,coalition,0.0,264.1455062000314,17.09177627863207,0,240.15999999985408,-0.17025576154345307,-0.07451062186709834,1402836,2,164.99191714740508,0,6,3,42339,True,240.17999999985406,0.087787846580824
smith,coalition,0.0,142.12319790001493,6.913643687556054,0,123.5799999999601,-0.11595273829932812,-0.07703087332545877,784532,2,164.39158327703177,0,6,4,6904,True,123.59999999996008,0.0780203108039157
smith,coalition,0.0,129.55215920007322,8.177926233621573,0,112.55999999997012,-0.19324028416450856,-0.10601080912182503,585800,2,162.53916119675563,0,6,5,10737,True,112.5799999999701,0.143034228051162
smith,coalition,0.0,300.04132750001736,15.83738998064037,0,241.7799999998526,-0.13675775921045732,-0.13492608670731787,1688228,2,164.73394516928846,0,6,6,24956,True,241.7999999998526,0.14598319201273569
smith,coalition,0.0,208.3992446999764,12.137405395291157,0,178.5599999999101,-0.1970151573234628,-0.11119337159825127,1119212,2,164.1693678202221,0,6,7,10729,True,178.5799999999101,0.022809424686732527
smith,coalition,0.0,193.5409581999993,9.6154592200396,0,146.8999999999389,-0.009620157565682352,-0.11129882926582568,834252,2,164.82799323822968,0,6,8,12049,True,146.91999999993888,0.02285044046272855
smith,coalition,0.0,110.30866690003313,7.998697042280414,0,107.47999999997474,-0.36647573572211445,-0.06011027128850088,619688,2,162.6988266292967,0,6,9,12303,True,107.49999999997472,0.04647810527415608
smith,coalition,0.0,204.74056289996952,12.900114256486223,0,191.17999999989863,-0.09373824777308076,-0.1161957367810782,1280396,2,164.78577062159414,0,6,10,31074,True,191.1999999998986,0.027255994600118072
smith,coalition,0.0,166.8155129000079,9.117064237954459,0,137.7799999999472,-0.09617643682154581,-0.12193166957477253,770388,2,162.62033852338874,0,6,11,9486,True,137.79999999994718,0.0635892039733541
smith,coalition,8.199999999999914,222.23746350000147,11.526412609860147,0,160.6399999999264,-0.4387868611155702,-0.05441450126016356,921732,2,162.84306823519117,0,6,12,22082,True,160.65999999992638,0.10179526802474287
smith,coalition,4.259999999999997,178.46362169994973,9.451909095013457,0,144.9199999999407,-0.41196390096862834,-0.048181187245212476,945912,2,161.40556095143774,0,6,13,20820,True,144.93999999994068,0.0425987138584798
smith,coalition,0.0,186.663175099995,8.23152498797978,0,142.79999999994263,-0.147126564113584,1.7619400874278295,807684,2,155.53903812382,0,6,14,8711,True,142.8199999999426,0.06084946877398778
smith,coalition,0.0,247.70878270000685,10.91749575007191,0,169.15999999991865,-0.17857288916314729,-0.1353602318619913,1025472,2,164.04594460792066,0,6,15,14838,True,169.17999999991864,0.0
