geometry_id,N,K,R,lambda2,num_components
G-UNI,32.0,22.0,16.06163839166936,31.999999999999947,1.0
G-UNI,32.0,22.0,16.2784090767179,31.999999999999947,1.0
G-UNI,32.0,22.0,16.128869177294348,31.999999999999947,1.0
G-UNI,32.0,22.0,16.929035478887055,31.999999999999947,1.0
G-UNI,32.0,22.0,17.005480604788747,31.999999999999947,1.0
G-UNI,32.0,22.0,15.475695259505486,31.999999999999947,1.0
G-UNI,32.0,22.0,15.220357303088464,31.999999999999947,1.0
G-UNI,32.0,22.0,14.941543813893741,31.999999999999947,1.0
G-UNI,32.0,22.0,16.16391479572088,31.999999999999947,1.0
G-UNI,32.0,22.0,16.6944782825089,31.999999999999947,1.0
G-UNI,32.0,22.0,15.194008070112016,31.999999999999947,1.0
G-UNI,64.0,96.0,25.117991790122428,63.99999999999988,1.0
G-UNI,64.0,96.0,23.862276724997162,63.99999999999988,1.0
G-UNI,64.0,96.0,23.858054801052404,63.99999999999988,1.0
G-UNI,64.0,96.0,24.83711074816246,63.99999999999988,1.0
G-UNI,64.0,96.0,25.089845906465584,63.99999999999988,1.0
G-UNI,64.0,96.0,24.25715621300191,63.99999999999988,1.0
G-UNI,64.0,96.0,25.107779224331118,63.99999999999988,1.0
G-UNI,64.0,96.0,24.389513976908983,63.99999999999988,1.0
G-UNI,64.0,96.0,25.502402371697684,63.99999999999988,1.0
G-UNI,64.0,96.0,24.659340898913218,63.99999999999988,1.0
G-UNI,64.0,96.0,25.815389386783,63.99999999999988,1.0
G-UNI,64.0,96.0,25.862636274349953,63.99999999999988,1.0
G-UNI,64.0,96.0,24.57905910193728,63.99999999999988,1.0
G-UNI,64.0,96.0,25.863341512620625,63.99999999999988,1.0
G-UNI,64.0,96.0,24.434952908358326,63.99999999999988,1.0
G-UNI,64.0,96.0,21.95136273758123,63.99999999999988,1.0
G-UNI,64.0,96.0,25.93739123536884,63.99999999999988,1.0
G-UNI,64.0,96.0,25.9642114094295,63.99999999999988,1.0
G-UNI,64.0,96.0,24.538301258834945,63.99999999999988,1.0
G-UNI,64.0,96.0,24.624494299008497,63.99999999999988,1.0
G-UNI,64.0,96.0,25.087631928880405,63.99999999999988,1.0
G-UNI,64.0,96.0,26.162457324894955,63.99999999999988,1.0
G-UNI,64.0,96.0,23.834776736227052,63.99999999999988,1.0
G-UNI,64.0,96.0,25.56358607710867,63.99999999999988,1.0
G-UNI,64.0,96.0,24.92435310448257,63.99999999999988,1.0
G-UNI,64.0,96.0,25.787873868931182,63.99999999999988,1.0
G-UNI,64.0,96.0,25.93879218129403,63.99999999999988,1.0
G-UNI,64.0,96.0,24.882412617785242,63.99999999999988,1.0
G-UNI,64.0,96.0,25.4784459062797,63.99999999999988,1.0
G-UNI,64.0,96.0,26.427753302276393,63.99999999999988,1.0
G-UNI,64.0,96.0,25.028474455598378,63.99999999999988,1.0
G-UNI,64.0,96.0,24.650584497163123,63.99999999999988,1.0
G-UNI,64.0,96.0,25.807901124969202,63.99999999999988,1.0
G-UNI,64.0,96.0,24.04938130555066,63.99999999999988,1.0
G-UNI,64.0,96.0,24.226720088854407,63.99999999999988,1.0
G-UNI,64.0,96.0,24.005928578214448,63.99999999999988,1.0
G-UNI,64.0,96.0,22.896830617503646,63.99999999999988,1.0
G-UNI,64.0,96.0,25.099464734483853,63.99999999999988,1.0
G-UNI,64.0,96.0,26.11441705814837,63.99999999999988,1.0
G-UNI,64.0,96.0,25.803046163436132,63.99999999999988,1.0
G-UNI,64.0,64.0,25.117991790122428,63.99999999999988,1.0
G-UNI,64.0,64.0,23.862276724997162,63.99999999999988,1.0
G-UNI,64.0,64.0,23.858054801052404,63.99999999999988,1.0
G-UNI,64.0,64.0,24.83711074816246,63.99999999999988,1.0
G-UNI,64.0,64.0,25.089845906465584,63.99999999999988,1.0
G-UNI,64.0,64.0,24.25715621300191,63.99999999999988,1.0
G-UNI,64.0,64.0,25.107779224331118,63.99999999999988,1.0
G-UNI,64.0,64.0,24.389513976908983,63.99999999999988,1.0
G-UNI,64.0,64.0,25.502402371697684,63.99999999999988,1.0
G-UNI,64.0,64.0,24.659340898913218,63.99999999999988,1.0
G-UNI,64.0,64.0,25.815389386783,63.99999999999988,1.0
G-UNI,64.0,64.0,25.862636274349953,63.99999999999988,1.0
G-UNI,64.0,64.0,24.57905910193728,63.99999999999988,1.0
G-UNI,64.0,64.0,25.863341512620625,63.99999999999988,1.0
G-UNI,64.0,64.0,24.434952908358326,63.99999999999988,1.0
G-UNI,64.0,64.0,21.95136273758123,63.99999999999988,1.0
G-UNI,64.0,64.0,25.93739123536884,63.99999999999988,1.0
G-UNI,64.0,64.0,25.9642114094295,63.99999999999988,1.0
G-UNI,64.0,64.0,24.538301258834945,63.99999999999988,1.0
G-UNI,64.0,64.0,24.624494299008497,63.99999999999988,1.0
G-UNI,64.0,64.0,25.087631928880405,63.99999999999988,1.0
G-UNI,64.0,64.0,26.162457324894955,63.99999999999988,1.0
G-UNI,64.0,64.0,23.834776736227052,63.99999999999988,1.0
G-UNI,64.0,64.0,25.56358607710867,63.99999999999988,1.0
G-UNI,64.0,64.0,24.92435310448257,63.99999999999988,1.0
G-UNI,64.0,64.0,25.787873868931182,63.99999999999988,1.0
G-UNI,64.0,64.0,25.93879218129403,63.99999999999988,1.0
G-UNI,64.0,64.0,24.882412617785242,63.99999999999988,1.0
G-UNI,64.0,64.0,25.4784459062797,63.99999999999988,1.0
G-UNI,64.0,64.0,26.427753302276393,63.99999999999988,1.0
G-UNI,64.0,64.0,25.028474455598378,63.99999999999988,1.0
G-UNI,64.0,64.0,24.650584497163123,63.99999999999988,1.0
G-UNI,64.0,64.0,25.807901124969202,63.99999999999988,1.0
G-UNI,64.0,64.0,24.04938130555066,63.99999999999988,1.0
G-UNI,64.0,64.0,24.226720088854407,63.99999999999988,1.0
G-UNI,64.0,64.0,24.005928578214448,63.99999999999988,1.0
G-UNI,64.0,64.0,22.896830617503646,63.99999999999988,1.0
G-UNI,64.0,64.0,25.099464734483853,63.99999999999988,1.0
G-UNI,64.0,64.0,26.11441705814837,63.99999999999988,1.0
G-UNI,64.0,64.0,25.803046163436132,63.99999999999988,1.0
G-UNI,64.0,43.0,25.117991790122428,63.99999999999988,1.0
G-UNI,64.0,43.0,23.862276724997162,63.99999999999988,1.0
G-UNI,64.0,43.0,23.858054801052404,63.99999999999988,1.0
G-UNI,64.0,43.0,24.83711074816246,63.99999999999988,1.0
G-UNI,64.0,43.0,25.089845906465584,63.99999999999988,1.0
G-UNI,64.0,43.0,24.25715621300191,63.99999999999988,1.0
G-UNI,64.0,43.0,25.107779224331118,63.99999999999988,1.0
G-UNI,64.0,43.0,24.389513976908983,63.99999999999988,1.0
G-UNI,64.0,43.0,25.502402371697684,63.99999999999988,1.0
G-UNI,64.0,43.0,24.659340898913218,63.99999999999988,1.0
G-UNI,64.0,43.0,25.815389386783,63.99999999999988,1.0
G-UNI,64.0,43.0,25.862636274349953,63.99999999999988,1.0
G-UNI,64.0,43.0,24.57905910193728,63.99999999999988,1.0
G-UNI,64.0,43.0,25.863341512620625,63.99999999999988,1.0
G-UNI,64.0,43.0,24.434952908358326,63.99999999999988,1.0
G-UNI,64.0,43.0,21.95136273758123,63.99999999999988,1.0
G-UNI,64.0,43.0,25.93739123536884,63.99999999999988,1.0
G-UNI,64.0,43.0,25.9642114094295,63.99999999999988,1.0
G-UNI,64.0,43.0,24.538301258834945,63.99999999999988,1.0
G-UNI,64.0,43.0,24.624494299008497,63.99999999999988,1.0
G-UNI,64.0,43.0,25.087631928880405,63.99999999999988,1.0
G-UNI,64.0,43.0,26.162457324894955,63.99999999999988,1.0
G-UNI,64.0,43.0,23.834776736227052,63.99999999999988,1.0
G-UNI,64.0,43.0,25.56358607710867,63.99999999999988,1.0
G-UNI,64.0,43.0,24.92435310448257,63.99999999999988,1.0
G-UNI,64.0,43.0,25.787873868931182,63.99999999999988,1.0
G-UNI,64.0,43.0,25.93879218129403,63.99999999999988,1.0
G-UNI,64.0,43.0,24.882412617785242,63.99999999999988,1.0
G-UNI,64.0,43.0,25.4784459062797,63.99999999999988,1.0
G-UNI,64.0,43.0,26.427753302276393,63.99999999999988,1.0
G-UNI,64.0,43.0,25.028474455598378,63.99999999999988,1.0
G-UNI,64.0,43.0,24.650584497163123,63.99999999999988,1.0
G-UNI,64.0,43.0,25.807901124969202,63.99999999999988,1.0
G-UNI,64.0,43.0,24.04938130555066,63.99999999999988,1.0
G-UNI,64.0,43.0,24.226720088854407,63.99999999999988,1.0
G-UNI,64.0,43.0,24.005928578214448,63.99999999999988,1.0
G-UNI,64.0,43.0,22.896830617503646,63.99999999999988,1.0
G-UNI,64.0,43.0,25.099464734483853,63.99999999999988,1.0
G-UNI,64.0,43.0,26.11441705814837,63.99999999999988,1.0
G-UNI,64.0,43.0,25.803046163436132,63.99999999999988,1.0
G-UNI,32.0,32.0,1.9306735559113555,-5.203751819853072e-16,13.0
G-UNI,32.0,32.0,2.3392109270449915,-5.209275805371848e-16,12.0
G-UNI,32.0,32.0,2.469426684488506,-1.8365202835569704e-16,10.0
G-UNI,32.0,32.0,2.4469830502289205,-7.548494099865529e-16,7.0
G-UNI,32.0,32.0,1.8483674134518708,-1.0166478733165044e-15,9.0
G-UNI,32.0,32.0,2.420954020540791,-7.925985762111683e-16,10.0
G-UNI,32.0,32.0,1.8416555231151257,-3.731030595148926e-16,11.0
G-UNI,32.0,32.0,2.3122604414999275,-6.172444377665058e-16,11.0
G-UNI,32.0,32.0,2.5075575364274965,-7.036634339308954e-16,11.0
G-UNI,32.0,32.0,2.4502248735026075,-5.098848012724398e-16,10.0
G-UNI,32.0,32.0,2.1708631881170355,-2.587083103040139e-16,12.0
G-UNI,32.0,32.0,2.1139743255192442,-2.4930079326237967e-16,11.0
G-UNI,32.0,32.0,2.1745885498996853,-1.0826781097119167e-15,10.0
G-UNI,32.0,32.0,2.1411108534564414,-8.697464469303836e-16,10.0
G-UNI,32.0,32.0,1.8360732311786252,-5.002250308781273e-16,8.0
G-UNI,32.0,32.0,2.1937926421959655,-4.599255186379659e-16,10.0
G-UNI,32.0,32.0,2.362531725204355,-8.88187017466419e-16,9.0
G-UNI,32.0,32.0,2.318715477402945,-4.1324473764713855e-16,8.0
G-UNI,32.0,32.0,2.1376870381753186,-4.984137042314541e-16,11.0
G-UNI,32.0,32.0,2.5823021869575813,-3.8939973311263705e-16,9.0
G-UNI,32.0,32.0,2.152507385128419,-9.162764797572985e-16,11.0
G-UNI,32.0,32.0,2.4721328147159474,-2.2989287052788373e-16,8.0
G-UNI,32.0,32.0,2.048242633212209,-6.115169019377e-16,14.0
G-UNI,32.0,32.0,2.537556193629048,-3.8679397679100425e-16,9.0
G-UNI,32.0,32.0,1.9759801012034877,-3.8193812724374454e-16,12.0
G-UNI,32.0,32.0,2.4678070715493146,-1.0120748082167356e-15,10.0
G-UNI,32.0,32.0,2.1786107098928564,-8.078867687053177e-17,12.0
G-UNI,32.0,32.0,2.257982312313939,-7.481355866695624e-16,11.0
G-UNI,32.0,32.0,2.6032464207397705,-8.815153369248925e-16,9.0
G-UNI,32.0,32.0,2.3309353146179657,-4.0856212542264026e-16,8.0
G-UNI,32.0,32.0,2.3963989939322143,-2.6340281167013907e-16,10.0
G-UNI,32.0,32.0,2.002228344469976,-6.766464649011384e-16,10.0
G-UNI,32.0,32.0,2.6648749867873187,-8.332116994087158e-16,9.0
G-UNI,32.0,32.0,2.1828174403584004,-3.385533426597721e-16,12.0
G-UNI,32.0,32.0,1.9055434505645383,-4.541908967639852e-16,11.0
G-UNI,32.0,32.0,2.1703242223643717,-1.1400978530239684e-15,11.0
G-UNI,32.0,32.0,2.1985240063874096,-1.1232198579860949e-15,10.0
G-UNI,32.0,32.0,1.9348908145402195,-7.484979017134558e-16,12.0
G-UNI,32.0,32.0,2.1772866243532207,-1.0075186743495087e-15,8.0
G-UNI,32.0,32.0,1.8909904512913562,-4.4108463915704435e-16,10.0
G-UNI,32.0,32.0,3.193166321485326,-2.1173887307903646e-15,3.0
G-UNI,32.0,32.0,3.5032506822335305,-2.0072017990098987e-16,4.0
G-UNI,32.0,32.0,3.324963808478394,0.06678271875459886,1.0
G-UNI,32.0,32.0,3.4312366408919526,-5.217725125324888e-16,4.0
G-UNI,32.0,32.0,2.9390792756688144,-4.3896563353555335e-16,5.0
G-UNI,32.0,32.0,3.2659650485893597,-1.4104636502582857e-15,3.0
G-UNI,32.0,32.0,2.797506340812505,1.161254169860952e-16,5.0
G-UNI,32.0,32.0,3.026984265978789,-4.88811013608879e-16,3.0
G-UNI,32.0,32.0,3.4823600924629474,8.874858943836509e-16,2.0
G-UNI,32.0,32.0,3.284905639974382,-3.437939760808472e-16,3.0
G-UNI,32.0,32.0,3.2946014136302715,5.551656305703246e-15,3.0
G-UNI,32.0,32.0,3.4105470638656743,0.042905378950034635,1.0
G-UNI,32.0,32.0,3.322619505554532,1.1630206900597347e-15,4.0
G-UNI,32.0,32.0,3.096616337020051,-9.108838041736408e-16,3.0
G-UNI,32.0,32.0,2.880732026253759,-1.2839420813504842e-15,4.0
G-UNI,32.0,32.0,3.1701257925125783,-1.8847207702748745e-15,3.0
G-UNI,32.0,32.0,3.4376493938792128,0.03667199026470663,1.0
G-UNI,32.0,32.0,3.436494797665603,5.431786841404263e-16,3.0
G-UNI,32.0,32.0,3.2042496357677708,5.756796370689711e-17,2.0
G-UNI,32.0,32.0,3.603922814631546,0.09046313933304112,1.0
G-UNI,32.0,32.0,3.293622484271194,-8.812501296001234e-16,3.0
G-UNI,32.0,32.0,3.4434427173762057,0.11294369127276761,1.0
G-UNI,32.0,32.0,3.004510742376946,-4.3442711349433133e-16,7.0
G-UNI,32.0,32.0,3.565335827001811,0.10827268552522559,1.0
G-UNI,32.0,32.0,2.7105992858098378,2.697566002783872e-16,3.0
G-UNI,32.0,32.0,3.505597291342741,7.177839250526691e-17,3.0
G-UNI,32.0,32.0,3.508623183269686,-4.690985297013793e-16,4.0
G-UNI,32.0,32.0,3.270443068950103,2.4905587939362576e-15,2.0
G-UNI,32.0,32.0,3.270100966565677,3.100212633716233e-16,2.0
G-UNI,32.0,32.0,3.3663409271467355,0.05813409811430272,1.0
G-UNI,32.0,32.0,3.0872480648605345,6.877139818888041e-16,3.0
G-UNI,32.0,32.0,3.1965046854573145,-4.621016184314045e-16,4.0
G-UNI,32.0,32.0,3.406866714521672,0.04849173079563643,1.0
G-UNI,32.0,32.0,3.3573061348896163,0.12208346744434653,1.0
G-UNI,32.0,32.0,2.7385588795429556,0.0,4.0
G-UNI,32.0,32.0,2.874505785127228,4.625158418348436e-16,4.0
G-UNI,32.0,32.0,3.4115660262383676,-5.761234070808733e-16,3.0
G-UNI,32.0,32.0,2.6950319941236938,-9.591146497713476e-16,5.0
G-UNI,32.0,32.0,3.2175383059885236,2.1943879891381697e-16,3.0
G-UNI,32.0,32.0,2.9281704190050135,0.0,5.0
G-UNI,32.0,32.0,4.225840240919091,1.0892093951158611e-15,2.0
G-UNI,32.0,32.0,4.254326601692162,0.38213660449440984,1.0
G-UNI,32.0,32.0,4.114376226949786,0.22984214277116596,1.0
G-UNI,32.0,32.0,4.111357192803656,0.2203726317036758,1.0
G-UNI,32.0,32.0,3.7434577058784493,4.627666747511079e-15,2.0
G-UNI,32.0,32.0,3.963275668932193,0.1886461533627563,1.0
G-UNI,32.0,32.0,3.617458866162184,2.7543514922872557e-15,2.0
G-UNI,32.0,32.0,3.703912027582396,0.20706528649403685,1.0
G-UNI,32.0,32.0,4.374156452338704,0.17904717767235093,1.0
G-UNI,32.0,32.0,3.9102356676062398,0.1918993165265034,1.0
G-UNI,32.0,32.0,3.9716736238731887,0.14458426243880865,1.0
G-UNI,32.0,32.0,4.361211084773476,0.5783332189762936,1.0
G-UNI,32.0,32.0,4.209033607394289,3.587988754684444e-15,2.0
G-UNI,32.0,32.0,3.801250663807635,1.6138061262048028e-15,2.0
G-UNI,32.0,32.0,3.8935596919384405,8.987613921164172e-16,3.0
G-UNI,32.0,32.0,4.141742115111684,0.18342903605333183,1.0
G-UNI,32.0,32.0,4.735487418369534,0.3258642221365835,1.0
G-UNI,32.0,32.0,4.188078171048144,0.19505060323904655,1.0
G-UNI,32.0,32.0,4.0285421467895794,0.211168673146621,1.0
G-UNI,32.0,32.0,4.417654560142803,0.48157028033198324,1.0
G-UNI,32.0,32.0,4.430484725930326,-2.069815714584576e-16,2.0
G-UNI,32.0,32.0,4.334743623743256,0.39244607892324324,1.0
G-UNI,32.0,32.0,3.770265989722833,0.11756461288452409,1.0
G-UNI,32.0,32.0,4.2851009056084095,0.4316625447909653,1.0
G-UNI,32.0,32.0,3.5527770336516626,0.0980316155504528,1.0
G-UNI,32.0,32.0,4.567958956249891,0.13638103288262793,1.0
G-UNI,32.0,32.0,4.548809625383203,0.1391356463175509,1.0
G-UNI,32.0,32.0,3.9245198602923708,0.1832342053908367,1.0
G-UNI,32.0,32.0,4.283778615164368,0.2093923605022454,1.0
G-UNI,32.0,32.0,4.3019318371879365,0.37789308489545215,1.0
G-UNI,32.0,32.0,3.8474110624554214,0.39662500456640987,1.0
G-UNI,32.0,32.0,3.8033291733579846,0.17979765007478418,1.0
G-UNI,32.0,32.0,4.247813669881744,0.4010913300906248,1.0
G-UNI,32.0,32.0,4.28380166299718,0.3714518226537931,1.0
G-UNI,32.0,32.0,3.47787616337346,0.10495024959584477,1.0
G-UNI,32.0,32.0,3.7897273004736025,0.1602192797156985,1.0
G-UNI,32.0,32.0,4.1567939725888365,0.49029267294167655,1.0
G-UNI,32.0,32.0,3.524259411130055,1.3890589658310343e-15,2.0
G-UNI,32.0,32.0,4.100820561025825,0.15810543808514235,1.0
G-UNI,32.0,32.0,3.740436014646657,0.16483841602458338,1.0
G-UNI,32.0,32.0,5.422137591831309,1.0865003043180557,1.0
G-UNI,32.0,32.0,5.518871709904657,1.47708144256088,1.0
G-UNI,32.0,32.0,5.656364313000716,1.2981527256425958,1.0
G-UNI,32.0,32.0,5.546669560650443,1.4781590259704682,1.0
G-UNI,32.0,32.0,5.06145333250763,1.4193923024734456,1.0
G-UNI,32.0,32.0,5.618259338198296,1.2863970772143751,1.0
G-UNI,32.0,32.0,5.311735105223397,0.808753782442273,1.0
G-UNI,32.0,32.0,4.975589484247196,1.031051466476502,1.0
G-UNI,32.0,32.0,5.879414433069966,1.3046673531636284,1.0
G-UNI,32.0,32.0,5.423138388056133,1.1087977441085588,1.0
G-UNI,32.0,32.0,5.942486860529801,1.0005727428365832,1.0
G-UNI,32.0,32.0,5.6754538036792095,1.9038490141855977,1.0
G-UNI,32.0,32.0,6.046497436661049,0.8441019748526721,1.0
G-UNI,32.0,32.0,5.663302467738884,1.4594708367335755e-14,2.0
G-UNI,32.0,32.0,5.245037762480026,0.4792181077976961,1.0
G-UNI,32.0,32.0,5.511302725773582,1.1067909013820039,1.0
G-UNI,32.0,32.0,6.208576871774953,1.5474853911543511,1.0
G-UNI,32.0,32.0,5.57365797930374,1.283946666691137,1.0
G-UNI,32.0,32.0,5.572534397458226,1.0652866534478123,1.0
G-UNI,32.0,32.0,5.522565294433294,1.5664071764441811,1.0
G-UNI,32.0,32.0,5.634607887525892,1.5320308732497487,1.0
G-UNI,32.0,32.0,5.704741495623517,1.7668077564306415,1.0
G-UNI,32.0,32.0,4.851686707317701,1.0297657042592872,1.0
G-UNI,32.0,32.0,5.774294418055396,1.5434265530566154,1.0
G-UNI,32.0,32.0,4.883635341218437,0.3606150619209526,1.0
G-UNI,32.0,32.0,6.312751510192103,1.4972362582798353,1.0
G-UNI,32.0,32.0,6.313126755515174,1.14519053023135,1.0
G-UNI,32.0,32.0,5.209018842477441,1.1023304301137793,1.0
G-UNI,32.0,32.0,5.6408953740347805,1.2994501867668788,1.0
G-UNI,32.0,32.0,5.955657594262275,1.1472722194981584,1.0
G-UNI,32.0,32.0,5.058654343801346,0.8686046928464147,1.0
G-UNI,32.0,32.0,4.780238649645048,1.1071309088717023,1.0
G-UNI,32.0,32.0,5.803469724721516,1.7487222556567676,1.0
G-UNI,32.0,32.0,5.853929370963297,1.4876081970174302,1.0
G-UNI,32.0,32.0,4.916777706187403,0.7400075370399267,1.0
G-UNI,32.0,32.0,5.203550934373553,1.283759977748613,1.0
G-UNI,32.0,32.0,5.591733577661288,2.0424830248931136,1.0
G-UNI,32.0,32.0,5.271618557665793,0.9337342150794772,1.0
G-UNI,32.0,32.0,5.950284744099325,1.1896165833348902,1.0
G-UNI,32.0,32.0,4.909573596234671,0.86582644335566,1.0
G-UNI,64.0,64.0,2.1293540641234268,-1.0834329925751826e-15,22.0
G-UNI,64.0,64.0,1.996046261706585,-1.808026667485975e-15,17.0
G-UNI,64.0,64.0,2.1658451662346776,-8.488735291963194e-16,22.0
G-UNI,64.0,64.0,2.234604578607996,-1.0660372936943575e-15,19.0
G-UNI,64.0,64.0,2.217391930253732,-7.86620421236208e-16,18.0
G-UNI,64.0,64.0,2.22664229456774,-1.293468785268077e-15,19.0
G-UNI,64.0,64.0,2.17385186129116,-1.1339966255168894e-15,21.0
G-UNI,64.0,64.0,2.047549226292721,-9.189460613103329e-16,23.0
G-UNI,64.0,64.0,2.217275505181308,-1.1031876735740812e-15,21.0
G-UNI,64.0,64.0,2.0871851069908276,-8.693290373915515e-16,25.0
G-UNI,64.0,64.0,2.176046305666314,-8.358243592981014e-16,20.0
G-UNI,64.0,64.0,2.0944800467526035,-5.979778562913397e-16,21.0
G-UNI,64.0,64.0,2.266802663961254,-1.0486288076399663e-15,19.0
G-UNI,64.0,64.0,2.131757723604389,-1.308012438426421e-15,24.0
G-UNI,64.0,64.0,1.9670913076917906,-1.0154861025184984e-15,22.0
G-UNI,64.0,64.0,2.0723852079772467,-1.418638049749682e-15,22.0
G-UNI,64.0,64.0,2.1364897802401535,-1.2274337322958099e-15,22.0
G-UNI,64.0,64.0,2.2032673996568564,-7.175436463270038e-16,18.0
G-UNI,64.0,64.0,2.197506071520169,-6.485650726857135e-16,16.0
G-UNI,64.0,64.0,2.314597350238543,-5.962868619654273e-16,16.0
G-UNI,64.0,64.0,2.0388229253992955,-1.0540220988685066e-15,24.0
G-UNI,64.0,64.0,2.1850456938516003,-7.02886484085474e-16,19.0
G-UNI,64.0,64.0,2.027953108155085,-8.126946059657112e-16,23.0
G-UNI,64.0,64.0,2.012555153500742,-8.489741412385964e-16,19.0
G-UNI,64.0,64.0,2.0678459077024165,-8.845239561703313e-16,17.0
G-UNI,64.0,64.0,2.0356655354815434,-1.1655807325711294e-15,21.0
G-UNI,64.0,64.0,2.4292319947140815,-1.0474433372277224e-15,21.0
G-UNI,64.0,64.0,2.040776156700331,-1.0364652733606046e-15,19.0
G-UNI,64.0,64.0,2.4234489658509597,-1.0461975792591067e-15,15.0
G-UNI,64.0,64.0,2.246226810555225,-1.1228170359711883e-15,21.0
G-UNI,64.0,64.0,1.9874954143228023,-1.5849353246267936e-15,26.0
G-UNI,64.0,64.0,2.187642563361591,-8.223473559356709e-16,19.0
G-UNI,64.0,64.0,2.2441290942666567,-1.2727089197392427e-15,20.0
G-UNI,64.0,64.0,2.094037991284506,-9.283359643339724e-16,21.0
G-UNI,64.0,64.0,1.981872692154859,-7.952808397838922e-16,19.0
G-UNI,64.0,64.0,2.210921588739265,-7.954381244317089e-16,18.0
G-UNI,64.0,64.0,2.0977260036127734,-5.942577748719021e-16,17.0
G-UNI,64.0,64.0,1.9760369124675756,-1.2634977656702235e-15,23.0
G-UNI,64.0,64.0,2.3495173320167746,-9.881366021109276e-16,15.0
G-UNI,64.0,64.0,2.0462441035356855,-8.157008159232371e-16,23.0
G-UNI,64.0,64.0,3.2282339015741375,-8.985622169351308e-16,5.0
G-UNI,64.0,64.0,2.9563120709558532,-8.112289660406208e-16,8.0
G-UNI,64.0,64.0,3.1355035504713378,-1.0773720920997164e-15,5.0
G-UNI,64.0,64.0,3.2404068280749643,3.3424866837396943e-16,5.0
G-UNI,64.0,64.0,2.8338509512569914,-7.632390824783614e-16,3.0
G-UNI,64.0,64.0,3.09219467369092,-4.929406568797156e-16,4.0
G-UNI,64.0,64.0,2.939454742141144,-3.9559668617452003e-16,5.0
G-UNI,64.0,64.0,2.7937625504791495,-1.1892246343139292e-15,6.0
G-UNI,64.0,64.0,3.1363235520683115,-9.387251928606156e-16,6.0
G-UNI,64.0,64.0,3.0014240086826,1.7062758407567325e-15,5.0
G-UNI,64.0,64.0,3.103697337256645,-8.904829883844133e-16,5.0
G-UNI,64.0,64.0,2.9666903681987957,-1.0824353149569084e-15,5.0
G-UNI,64.0,64.0,3.2811447024597906,4.379481809590417e-16,4.0
G-UNI,64.0,64.0,3.1552254370905546,-8.163556921778741e-16,5.0
G-UNI,64.0,64.0,2.9283805594193817,-1.0459148000407464e-15,8.0
G-UNI,64.0,64.0,3.119482848963579,-1.275941452613248e-15,7.0
G-UNI,64.0,64.0,3.032170782855009,-3.257528720126722e-16,6.0
G-UNI,64.0,64.0,3.345894418028924,0.010902168461624666,1.0
G-UNI,64.0,64.0,3.0735064656725046,0.016388351545288685,1.0
G-UNI,64.0,64.0,3.2535903174827148,7.712300492602768e-17,5.0
G-UNI,64.0,64.0,3.106915281252042,-1.7053152658368802e-15,7.0
G-UNI,64.0,64.0,3.2879595952007517,-3.236848646647108e-17,4.0
G-UNI,64.0,64.0,2.9956037159521687,-7.144214362512951e-16,11.0
G-UNI,64.0,64.0,2.985130168923661,-1.4819026713688634e-15,7.0
G-UNI,64.0,64.0,2.95844217504924,-7.203352777389558e-16,7.0
G-UNI,64.0,64.0,3.0450162451667184,1.3171122233101807e-15,3.0
G-UNI,64.0,64.0,3.305167173638675,-6.64043216635444e-16,4.0
G-UNI,64.0,64.0,3.121381679944067,-3.087707385892173e-16,8.0
G-UNI,64.0,64.0,3.5252932633653753,-6.928177693291934e-16,3.0
G-UNI,64.0,64.0,3.1767801353655822,-2.3169275135343615e-16,6.0
G-UNI,64.0,64.0,3.1202258582086557,-1.0084364701586848e-15,7.0
G-UNI,64.0,64.0,3.029776367868818,-1.5024065235220751e-15,6.0
G-UNI,64.0,64.0,3.1990784225285536,-4.906950518639736e-16,5.0
G-UNI,64.0,64.0,3.162541250191161,-9.07324847004321e-16,6.0
G-UNI,64.0,64.0,2.9127967239800423,-1.4974774510155254e-15,5.0
G-UNI,64.0,64.0,3.118437537952416,-8.345605604910995e-16,7.0
G-UNI,64.0,64.0,2.992539659898978,-1.1169717217681232e-15,4.0
G-UNI,64.0,64.0,2.918910871450789,-1.269959920632782e-16,7.0
G-UNI,64.0,64.0,3.071891410395253,-1.5874379008258072e-18,3.0
G-UNI,64.0,64.0,3.139734100969606,-1.2853416894541743e-15,8.0
G-UNI,64.0,64.0,3.902998100815724,0.056397133530460504,1.0
G-UNI,64.0,64.0,3.6306640967083395,1.525985635179323e-15,3.0
G-UNI,64.0,64.0,3.953856604845183,0.05458887721295704,1.0
G-UNI,64.0,64.0,3.954863134517322,3.399378842717648e-15,2.0
G-UNI,64.0,64.0,3.4983670175353483,6.93889387216745e-17,2.0
G-UNI,64.0,64.0,3.7949530851860525,0.1406365520370094,1.0
G-UNI,64.0,64.0,3.7011603176455057,7.425772884589148e-15,2.0
G-UNI,64.0,64.0,3.5645143335801954,8.292735839075378e-15,2.0
G-UNI,64.0,64.0,3.9543180631362933,4.509148430717319e-15,3.0
G-UNI,64.0,64.0,3.7565202465114735,0.06167067428536861,1.0
G-UNI,64.0,64.0,3.9475284730724054,0.1000735340087212,1.0
G-UNI,64.0,64.0,3.7968002115486295,0.12022761924038632,1.0
G-UNI,64.0,64.0,3.9982960460360606,7.43596536969407e-15,2.0
G-UNI,64.0,64.0,3.840903679005588,0.032508762298845494,1.0
