t_s,method,robot,x_m,y_m,command_x_m,command_y_m,replay_error_m
35.28,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
35.28,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
35.28,distributed_pd_hocbf,1,2.0063445500000006,2.20276081,2.0063445453665674,2.202760809489472,4.661474236272754e-09
35.28,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
35.28,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
35.4,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
35.4,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
35.4,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
35.4,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
35.4,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
35.4,distributed_pd_hocbf,1,1.9461172800000002,2.19254281,1.9461172826911115,2.1925428086373384,3.0164427196750186e-09
35.4,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
35.4,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
35.52,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
35.52,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
35.52,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
35.52,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
35.52,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
35.52,distributed_pd_hocbf,1,1.88279291,2.17659207,1.882792913826056,2.1765920715390394,4.123996441712528e-09
35.52,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
35.52,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
35.64,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
35.64,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
35.64,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
35.64,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
35.64,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
35.64,distributed_pd_hocbf,1,1.8174099000000004,2.1564432,1.8174099019980998,2.1564431956824404,4.757491223194124e-09
35.64,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
35.64,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
35.76,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
