campaign_id,experiment,world_key,world_seed,scenario,N,K,method,feasible,capacity_deficit,runtime_ms,rounds,messages,bytes,bytes_per_agent,max_parallel_commits,algorithm_status,arbitration_messages,transaction_messages
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:clustered:cv0.65:p0.8:r3,3504778206,clustered,32,8,geo_qpg_d,True,0.0,1525.5219000100624,22,8644,459424,14357.0,8,LOCAL_MINIMUM,2582,336
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:clustered:cv0.65:p0.8:r4,2538232075,clustered,32,8,geo_qpg_u,True,0.0,21.63289999589324,76,1423,47200,1475.0,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:clustered:cv0.65:p0.8:r4,2538232075,clustered,32,8,geo_qpg_d,True,0.0,745.0794999895152,20,6691,297148,9285.875,8,LOCAL_MINIMUM,3136,228
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:corridor:cv0.65:p0.8:r0,3643885388,corridor,32,8,geo_qpg_u,True,0.0,23.639799997908995,85,1266,42012,1312.875,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:corridor:cv0.65:p0.8:r0,3643885388,corridor,32,8,geo_qpg_d,True,0.0,1857.292700005928,25,9608,543080,16971.25,8,LOCAL_MINIMUM,2444,396
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:corridor:cv0.65:p0.8:r1,1690159008,corridor,32,8,geo_qpg_u,True,0.0,22.626699996180832,85,1371,45540,1423.125,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:corridor:cv0.65:p0.8:r1,1690159008,corridor,32,8,geo_qpg_d,True,0.0,846.9764000037685,22,7603,338492,10577.875,6,LOCAL_MINIMUM,3680,231
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:corridor:cv0.65:p0.8:r2,2034567814,corridor,32,8,geo_qpg_u,True,0.0,22.100600006524473,84,1243,41976,1311.75,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:corridor:cv0.65:p0.8:r2,2034567814,corridor,32,8,geo_qpg_d,True,0.0,670.3806000004988,19,7353,312256,9758.0,6,LOCAL_MINIMUM,3578,288
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:corridor:cv0.65:p0.8:r3,1024004812,corridor,32,8,geo_qpg_u,True,0.0,27.718500001356006,85,1604,54468,1702.125,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:corridor:cv0.65:p0.8:r3,1024004812,corridor,32,8,geo_qpg_d,True,0.0,1179.0775999834295,23,11532,536960,16780.0,6,LOCAL_MINIMUM,5588,408
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:corridor:cv0.65:p0.8:r4,2232124264,corridor,32,8,geo_qpg_u,True,0.0,22.03280001413077,88,1522,51584,1612.0,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:corridor:cv0.65:p0.8:r4,2232124264,corridor,32,8,geo_qpg_d,True,0.0,1420.4702000133693,27,19162,841692,26302.875,6,LOCAL_MINIMUM,11072,618
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:uniform:cv0.65:p0.8:r0,995431097,uniform,48,12,geo_qpg_u,True,0.0,57.76009999681264,130,2840,92960,1936.6666666666667,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:uniform:cv0.65:p0.8:r0,995431097,uniform,48,12,geo_qpg_d,True,0.0,7855.61610001605,30,24064,1485416,30946.166666666668,10,LOCAL_MINIMUM,9440,534
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:uniform:cv0.65:p0.8:r1,3445434982,uniform,48,12,geo_qpg_u,True,0.0,52.117599989287555,126,2998,98656,2055.3333333333335,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:uniform:cv0.65:p0.8:r1,3445434982,uniform,48,12,geo_qpg_d,True,0.0,4508.203500008676,27,16816,936324,19506.75,10,LOCAL_MINIMUM,6958,471
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:uniform:cv0.65:p0.8:r2,3100082885,uniform,48,12,geo_qpg_u,True,0.0,54.923799994867295,130,3145,103420,2154.5833333333335,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:uniform:cv0.65:p0.8:r2,3100082885,uniform,48,12,geo_qpg_d,True,0.0,4026.6735999903176,25,19227,956540,19927.916666666668,11,LOCAL_MINIMUM,10626,345
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:uniform:cv0.65:p0.8:r3,413452755,uniform,48,12,geo_qpg_u,True,0.0,49.753200000850484,126,2772,91044,1896.75,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:uniform:cv0.65:p0.8:r3,413452755,uniform,48,12,geo_qpg_d,True,0.0,4669.5365000050515,28,18926,1028840,21434.166666666668,11,LOCAL_MINIMUM,8646,462
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:uniform:cv0.65:p0.8:r4,578903526,uniform,48,12,geo_qpg_u,True,0.0,57.33759998111054,134,3176,104396,2174.9166666666665,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:uniform:cv0.65:p0.8:r4,578903526,uniform,48,12,geo_qpg_d,True,0.0,7447.930099995574,31,26333,1563772,32578.583333333332,11,LOCAL_MINIMUM,11052,615
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:clustered:cv0.65:p0.8:r0,3764740660,clustered,48,12,geo_qpg_u,True,0.0,70.08929998846725,131,2906,94816,1975.3333333333333,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:clustered:cv0.65:p0.8:r0,3764740660,clustered,48,12,geo_qpg_d,True,0.0,9649.19899997767,29,26000,1702916,35477.416666666664,9,LOCAL_MINIMUM,10338,399
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:clustered:cv0.65:p0.8:r1,3693853052,clustered,48,12,geo_qpg_u,True,0.0,52.75239999173209,133,3058,100284,2089.25,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:clustered:cv0.65:p0.8:r1,3693853052,clustered,48,12,geo_qpg_d,True,0.0,5984.865499980515,37,33447,1648196,34337.416666666664,10,LOCAL_MINIMUM,19632,570
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:clustered:cv0.65:p0.8:r2,3320980894,clustered,48,12,geo_qpg_u,True,0.0,51.63249999168329,130,3020,99640,2075.8333333333335,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:clustered:cv0.65:p0.8:r2,3320980894,clustered,48,12,geo_qpg_d,True,0.0,3859.5211999781895,28,19424,988668,20597.25,9,LOCAL_MINIMUM,9450,516
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:clustered:cv0.65:p0.8:r3,1123436687,clustered,48,12,geo_qpg_u,True,0.0,54.2165000224486,126,2574,84608,1762.6666666666667,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:clustered:cv0.65:p0.8:r3,1123436687,clustered,48,12,geo_qpg_d,True,0.0,5630.978400004096,31,22677,1258648,26221.833333333332,12,LOCAL_MINIMUM,10128,597
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:clustered:cv0.65:p0.8:r4,1977626427,clustered,48,12,geo_qpg_u,True,0.0,49.521800014190376,135,3209,106348,2215.5833333333335,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:clustered:cv0.65:p0.8:r4,1977626427,clustered,48,12,geo_qpg_d,True,0.0,3784.860399988247,29,21678,1038100,21627.083333333332,12,LOCAL_MINIMUM,11374,618
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N48:K12:corridor:cv0.65:p0.8:r0,1002649154,corridor,48,12,geo_qpg_u,True,0.0,60.06899999920279,134,3062,100428,2092.25,1,LOCAL_MINIMUM,0,0
