K,N,abs_err,config_failed,config_id,experiment,lambda,n,r,regime,task_id,z_obs,z_star
2,6,6.6810779131287745e-09,False,20,H1,0.845849402656311,3.0,1.0810611397003949,scarcity,1,2.3600723989120165,2.3600723922309386
2,6,6.68109212398349e-09,False,20,H1,0.845849402656311,7.0,0.8468698045348371,scarcity,2,3.639927601087982,3.6399276077690743
3,17,3.3412072664162906e-08,False,21,H1,0.05,2.0,1.2827352272502863,abundance,1,3.6024838346035306,3.6024838680156033
3,17,3.3896335960292845e-08,False,21,H1,0.05,2.0,0.9823034369429002,abundance,2,3.4628176322976807,3.4628176661940167
3,17,3.541313375876598e-08,False,21,H1,0.05,7.0,0.5827299999224386,abundance,3,8.182995826406751,8.182995861819885
4,10,3.3292630874370843e-09,False,22,H1,0.8306109491534627,4.0,1.0206724024715377,scarcity,1,3.2625929758543117,3.2625929725250487
4,10,4.402749276266604e-09,False,22,H1,0.8306109491534627,4.0,0.9734894010569538,scarcity,2,3.119916388800703,3.119916384397954
4,10,4.283782129022029e-08,False,22,H1,0.8306109491534627,7.0,0.8315689973425522,scarcity,3,3.6174906002400236,3.617490643077845
4,10,3.510496147932359e-08,False,22,H1,0.8306109491534627,2.0,0.7669756630918936,scarcity,4,3.510496147932359e-08,0.0
4,24,1.7970210208773096e-08,False,23,H1,0.05,3.0,1.3961607718397668,abundance,1,4.646494452931762,4.646494470901972
4,24,1.8211304464443856e-08,False,23,H1,0.05,2.0,1.0540361435390495,abundance,2,3.499880128646919,3.4998801468582235
4,24,1.8958231429166972e-08,False,23,H1,0.05,4.0,0.6402490889986108,abundance,3,5.2342607946018305,5.234260813560062
4,24,1.9057984523840332e-08,False,23,H1,0.05,6.0,0.6085757411354435,abundance,4,7.206683590526509,7.206683609584494
2,2,2.908923590894119e-08,False,24,H1,1.2173113041816366,3.0,1.268647491917657,scarcity,1,1.4169980013108028,1.4169980304000387
2,2,2.9083951691433185e-08,False,24,H1,1.2173113041816366,3.0,1.2269946142868826,scarcity,2,0.5830019986891974,0.5830019696052458
4,37,1.3778955754162325e-08,False,25,H1,0.05,5.0,1.3297897431324133,abundance,1,6.6212140511864765,6.621214037407521
4,37,1.2951945294048528e-08,False,25,H1,0.05,7.0,1.0548524693914834,abundance,2,8.500286516783925,8.50028650383198
4,37,1.3166053136615119e-08,False,25,H1,0.05,7.0,0.8709222838624388,abundance,3,8.399202732768869,8.399202719602815
4,37,1.8038433857725522e-08,False,25,H1,0.05,3.0,0.5374125561761798,abundance,4,4.138543966525627,4.138543948487193
5,13,4.464824066019446e-09,False,26,H1,0.6642518682649013,3.0,1.4360435700489633,scarcity,1,3.075026645558646,3.07502665002347
5,13,7.087993747489918e-09,False,26,H1,0.6642518682649013,3.0,1.0150571292317145,scarcity,2,2.680784923017693,2.6807849301056867
5,13,2.4135760057220068e-08,False,26,H1,0.6642518682649013,7.0,0.7559650905676027,scarcity,3,6.010002557118289,6.010002581254049
5,13,3.5814594845362535e-08,False,26,H1,0.6642518682649013,5.0,0.6646078175820181,scarcity,4,1.2341858742426912,1.2341858384280964
5,13,6.26818422767494e-11,False,26,H1,0.6642518682649013,3.0,0.544910619392329,scarcity,5,6.26818422767494e-11,0.0
5,38,1.1292911494820146e-08,False,27,H1,0.05,7.0,1.393446639697863,abundance,1,8.645485363521448,8.645485352228537
5,38,1.4754048205389836e-08,False,27,H1,0.05,2.0,1.3907924908785247,abundance,2,3.6444965766568296,3.6444965619027814
5,38,1.135589933198844e-08,False,27,H1,0.05,7.0,1.272012432110988,abundance,3,8.598115665270178,8.59811565391428
5,38,1.53141725967032e-08,False,27,H1,0.05,2.0,1.018858360386449,abundance,4,3.4820477277475694,3.482047712433397
5,38,1.2147397754347367e-08,False,27,H1,0.05,6.0,0.815929051830793,abundance,5,7.3645332813433875,7.36453326919599
3,7,6.030164811932082e-09,False,28,H1,1.2440954113655862,4.0,1.4368131505337791,scarcity,1,3.0675313357635576,3.067531329733393
3,7,7.020691139558721e-09,False,28,H1,1.2440954113655862,7.0,1.246789611349026,scarcity,2,3.9324686632485575,3.9324686702692486
3,7,9.878851756865133e-10,False,28,H1,1.2440954113655862,2.0,0.7624605159228647,scarcity,3,9.878851756865133e-10,0.0
2,7,7.718920347343783e-08,False,29,H1,0.05,2.0,0.6792683081577391,abundance,1,3.266267284495302,3.2662673616845055
2,7,7.745225660826804e-08,False,29,H1,0.05,2.0,0.653284316624494,abundance,2,3.245182714397438,3.2451827918496945
5,11,6.253643825004929e-09,False,30,H1,1.1868651519327882,6.0,1.4718264260609675,scarcity,1,5.2866412471105,5.286641253364144
5,11,2.030788515128279e-08,False,30,H1,1.1868651519327882,7.0,1.2774048382411776,scarcity,2,5.7133587263279715,5.713358746635857
5,11,2.6561527669361008e-08,False,30,H1,1.1868651519327882,2.0,1.0007411862023423,scarcity,3,2.6561527669361008e-08,0.0
