n_robots,scenario,replicate,regime,critical_radius_m,multiplier,n_edges,mean_degree,min_degree,diameter,components,lambda_2,connected
32,uniform,1,partitioned,24.767646730091357,0.95,71,4.4375,1,-1,2,-1.0024667160864953e-15,False
32,uniform,2,complete,29.52407568887469,,496,31.0,31,1,1,31.999999999999947,True
32,uniform,2,dense,29.52407568887469,2.0,284,17.75,7,3,1,5.6634218902790785,True
32,uniform,2,medium,29.52407568887469,1.5,175,10.9375,2,4,1,1.4018575492293386,True
32,uniform,2,threshold,29.52407568887469,1.05,103,6.4375,2,10,1,0.039338695853689085,True
32,uniform,2,partitioned,29.52407568887469,0.95,92,5.75,1,-1,2,1.8622494933072425e-15,False
32,clustered,0,complete,25.70275566499425,,496,31.0,31,1,1,31.999999999999947,True
32,clustered,0,dense,25.70275566499425,2.0,265,16.5625,7,3,1,5.049855539641406,True
32,clustered,0,medium,25.70275566499425,1.5,166,10.375,2,4,1,1.440840676401023,True
32,clustered,0,threshold,25.70275566499425,1.05,86,5.375,2,7,1,0.24642211636527597,True
32,clustered,0,partitioned,25.70275566499425,0.95,70,4.375,2,-1,2,3.498740935808331e-16,False
32,clustered,1,complete,25.31140469577359,,496,31.0,31,1,1,31.999999999999947,True
32,clustered,1,dense,25.31140469577359,2.0,238,14.875,9,3,1,2.648489885498992,True
32,clustered,1,medium,25.31140469577359,1.5,159,9.9375,5,4,1,0.9273372834681487,True
32,clustered,1,threshold,25.31140469577359,1.05,90,5.625,2,9,1,0.045493505671878966,True
32,clustered,1,partitioned,25.31140469577359,0.95,71,4.4375,1,-1,2,9.853276397693631e-16,False
32,clustered,2,complete,29.74092735612235,,496,31.0,31,1,1,31.999999999999947,True
32,clustered,2,dense,29.74092735612235,2.0,264,16.5,9,3,1,6.130220737754792,True
32,clustered,2,medium,29.74092735612235,1.5,163,10.1875,3,4,1,1.3228242973978066,True
32,clustered,2,threshold,29.74092735612235,1.05,101,6.3125,1,7,1,0.1797715214056744,True
32,clustered,2,partitioned,29.74092735612235,0.95,83,5.1875,0,-1,2,2.238273845011905e-16,False
32,separated,0,complete,16.090674383003538,,496,31.0,31,1,1,31.999999999999947,True
32,separated,0,dense,16.090674383003538,2.0,247,15.4375,8,4,1,2.9041793931703057,True
32,separated,0,medium,16.090674383003538,1.5,156,9.75,2,5,1,0.8065052704044811,True
32,separated,0,threshold,16.090674383003538,1.05,90,5.625,1,8,1,0.20532233649344886,True
32,separated,0,partitioned,16.090674383003538,0.95,75,4.6875,0,-1,2,-5.251979717089475e-16,False
32,separated,1,complete,19.463000834690174,,496,31.0,31,1,1,31.999999999999947,True
32,separated,1,dense,19.463000834690174,2.0,285,17.8125,11,3,1,4.099732121287136,True
32,separated,1,medium,19.463000834690174,1.5,173,10.8125,4,5,1,0.946377837656409,True
32,separated,1,threshold,19.463000834690174,1.05,104,6.5,1,7,1,0.10155336453429527,True
32,separated,1,partitioned,19.463000834690174,0.95,94,5.875,0,-1,3,1.8401638863415557e-16,False
32,separated,2,complete,23.2399457040948,,496,31.0,31,1,1,31.999999999999947,True
32,separated,2,dense,23.2399457040948,2.0,329,20.5625,8,3,1,4.890606201530495,True
32,separated,2,medium,23.2399457040948,1.5,238,14.875,6,4,1,0.9227912119413059,True
32,separated,2,threshold,23.2399457040948,1.05,163,10.1875,2,6,1,0.07994235268613444,True
32,separated,2,partitioned,23.2399457040948,0.95,137,8.5625,1,-1,2,1.0611735127909564e-15,False
32,ring,0,complete,20.318273621524714,,496,31.0,31,1,1,31.999999999999947,True
32,ring,0,dense,20.318273621524714,2.0,155,9.6875,6,4,1,0.9398840036083169,True
32,ring,0,medium,20.318273621524714,1.5,117,7.3125,3,5,1,0.4489936009972695,True
32,ring,0,threshold,20.318273621524714,1.05,71,4.4375,2,9,1,0.09655685078233624,True
32,ring,0,partitioned,20.318273621524714,0.95,62,3.875,1,-1,3,6.94338147854152e-16,False
32,ring,1,complete,27.73729902466725,,496,31.0,31,1,1,31.999999999999947,True
32,ring,1,dense,27.73729902466725,2.0,228,14.25,9,3,1,3.357568123149309,True
32,ring,1,medium,27.73729902466725,1.5,160,10.0,5,4,1,1.0934967681708974,True
32,ring,1,threshold,27.73729902466725,1.05,102,6.375,3,10,1,0.10035379789636772,True
32,ring,1,partitioned,27.73729902466725,0.95,95,5.9375,3,-1,2,3.990308869751696e-15,False
32,ring,2,complete,30.156793803611016,,496,31.0,31,1,1,31.999999999999947,True
32,ring,2,dense,30.156793803611016,2.0,274,17.125,9,3,1,4.604574930163642,True
32,ring,2,medium,30.156793803611016,1.5,194,12.125,4,4,1,1.4936523017653944,True
32,ring,2,threshold,30.156793803611016,1.05,117,7.3125,1,9,1,0.15291332115034756,True
32,ring,2,partitioned,30.156793803611016,0.95,109,6.8125,1,-1,2,3.234439647195716e-17,False
32,corridor,0,complete,13.27430427002757,,496,31.0,31,1,1,31.999999999999947,True
32,corridor,0,dense,13.27430427002757,2.0,233,14.5625,6,5,1,2.0433660818058605,True
32,corridor,0,medium,13.27430427002757,1.5,171,10.6875,4,6,1,0.6940243434757534,True
32,corridor,0,threshold,13.27430427002757,1.05,113,7.0625,2,10,1,0.15213666319986002,True
32,corridor,0,partitioned,13.27430427002757,0.95,98,6.125,2,-1,2,1.2152829501674219e-15,False
32,corridor,1,complete,10.660236154900858,,496,31.0,31,1,1,31.999999999999947,True
32,corridor,1,dense,10.660236154900858,2.0,184,11.5,5,5,1,0.926525201485338,True
32,corridor,1,medium,10.660236154900858,1.5,143,8.9375,4,6,1,0.39090635433023346,True
32,corridor,1,threshold,10.660236154900858,1.05,93,5.8125,2,11,1,0.05931596736037261,True
32,corridor,1,partitioned,10.660236154900858,0.95,83,5.1875,1,-1,2,3.0995524091682692e-15,False
32,corridor,2,complete,12.60184866935543,,496,31.0,31,1,1,31.999999999999947,True
32,corridor,2,dense,12.60184866935543,2.0,222,13.875,8,4,1,1.0438437646348766,True
32,corridor,2,medium,12.60184866935543,1.5,162,10.125,5,7,1,0.3974500568682113,True
32,corridor,2,threshold,12.60184866935543,1.05,110,6.875,3,9,1,0.10988830588586558,True
32,corridor,2,partitioned,12.60184866935543,0.95,99,6.1875,1,-1,2,1.2696163621368453e-15,False
