cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
,,,,,waypoint,smith,,,,0.0,155.65412310004467,3.614110531193292,9.072683582912228,0,160.33999999992668,-0.0993489237564304,-0.0955518912017758,1087940,2,161.40556095143774,0,6,13,22657,True,160.35999999992666,2.2323873413988675,0.0763911857034885
,,,,,waypoint,smith,,,,0.0,120.26548130001174,2.4166773800090127,6.948700048266349,0,127.15999999995684,-0.1630331448460397,1.350255750639123,562901,2,163.11594441134687,0,9,25,14929,True,127.17999999995682,1.221148595025516,0.0457910695694696
,,,,,game,smith,,,,0.0,242.4392002000241,4.322122732166215,10.505442942701976,0,176.53999999991194,-0.0658287593101394,0.4067573880275201,1117093,2,164.1693678202221,0,6,7,10554,True,176.55999999991192,2.1954514599151613,0.0220696474602863
,,,,,game,smith,,,,0.0,200.1435010000132,3.324432433733766,10.21920715909646,0,172.43999999991567,-0.0184978708914866,1.2884551273982223,932118,2,164.03314879530987,0,6,19,20997,True,172.45999999991565,2.617808740857497,0.093589108982405
,,,,,waypoint,smith,,,,0.0,273.8716623999644,3.0833926517607493,16.832971461031097,0,300.01999999979967,-0.2079230335599395,9.589616754626038,1119137,0,164.48216171767052,0,21,2,112912,False,300.01999999979967,0.9005381691685671,0.156453591402524
,,,,,waypoint,smith,,,,0.0,275.6459093999583,,20.095131959896413,0,300.01999999979967,-0.2238531220503742,11.081332134486368,1652409,0,155.53903812382,0,15,14,80574,False,300.01999999979967,,0.1945513351269049
,,,,,waypoint,smith,,,,0.0,176.155904299987,3.108892858796092,10.919448219642325,0,195.4199999998948,-0.1748033669518072,-0.0804257256742895,1051624,2,164.22530809440505,0,6,26,20544,True,195.43999999989475,2.7935648022939903,0.1196132881644604
,,,,,game,smith,,,,0.0,362.9385225999868,3.203074719618768,14.056770891225757,0,132.89999999995163,-0.1608189658769078,1.902237308085601,1658246,1,164.82799323822968,0,18,8,23372,False,300.01999999979967,2.8151695886504524,0.3661925968718784
,,,,,game,smith,,,,0.0,225.66275659995156,3.2741549567846384,11.647572129145662,0,212.2199999998795,-0.1123118963481986,0.3255701262890085,1171439,2,164.4865489404765,0,6,20,17897,True,212.23999999987947,3.032308165729626,0.067935575665165
,,,,,waypoint,smith,,,,26.359999999999527,278.2015765000251,3.473217983054513,14.5644265087971,0,290.03999999980874,-0.3305276460764679,-0.0782426384131387,1846712,2,164.99191714740508,0,13,3,16358,True,290.0599999998087,2.7045193660962457,0.0787705211375495
,,,,,waypoint,smith,,,,10.519999999999865,105.61580139998114,3.767797490469353,6.881441741243425,0,107.23999999997496,-0.174866980531533,-0.0751247381449404,652336,2,164.04594460792066,0,6,15,12533,True,107.25999999997494,1.95194975744126,0.1072317598665123
,,,,,waypoint,smith,,,,0.0,271.48302559996955,2.81433441093909,13.612296872098115,0,78.70000000000091,-0.30908369580253,1.3841117941329577,1562001,1,161.6785730938033,0,18,27,14838,False,300.01999999979967,1.5627203990983058,0.0124342051195061
,,,,,game,smith,,,,0.36,338.06422330002533,4.329697639053136,18.19094609499221,0,162.97999999992427,-0.0731303670027296,-0.1093139182155766,1896977,1,162.6988266292967,0,9,9,43816,False,300.01999999979967,4.507725699823375,0.0983297773146282
,,,,,game,smith,,,,0.0,213.46684299997287,3.643833941586091,11.504091357160188,0,191.03999999989875,-0.4264237050683667,0.3463918204775877,1222883,2,163.3560085253781,0,6,21,19084,True,191.05999999989876,2.632510882123138,0.0607419538193312
,,,,,waypoint,smith,,,,0.0,159.8067837000126,3.928205661372524,9.74257857052759,0,157.51999999992924,-0.1087781272354693,-0.1145315613797528,1034648,2,164.39158327703177,0,6,4,16520,True,157.53999999992922,2.7971109644928647,0.0551608547033062
,,,,,waypoint,smith,,,,0.0,178.22150450001936,3.3745338204181525,9.74836915983307,0,183.3999999999057,-0.0718441188046379,-0.134052791126118,1035264,2,164.27208058168665,0,6,16,15766,True,183.41999999990568,2.293926621475605,0.1023428223825043
