_grid,cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
hiperjuego,,0.0,,,,,smith,False,,,0.0,243.69200839998666,3.8924473597805846,14.073305329073055,0,262.65999999983364,-0.07195064628054224,-0.05885759797171186,1485093,2,164.30284052668833,0,9,1,22923,True,262.6799999998336,3.1644580043681403,0.11366802741328136
hiperjuego,,0.0,,,,,smith,False,,,0.0,212.12732679996407,4.19814254297122,12.820325169129902,0,232.07999999986143,-0.11151095245190301,2.2947870940356374,1215864,2,161.40556095143774,0,9,13,19728,True,232.0999999998614,1.9483282629992222,0.09348166153947401
hiperjuego,,0.35,,,,,smith,True,,,0.0,157.2084834999987,3.8974915922266806,10.61258561006832,0,158.9999999999279,-0.15511289552010687,0.211994701873099,847900,2,162.53916119675563,0,6,5,13217,True,159.01999999992788,2.0231771483802423,0.07794662180286238
hiperjuego,,0.35,,,,,smith,True,,,0.0,198.05230549996486,3.092761259522116,11.315638982522714,0,215.1799999998768,-0.10330100722583446,0.1787108168658147,1312510,2,164.95158979780044,0,6,17,17915,True,215.19999999987678,2.6472522164877894,0.08033215332357013
hiperjuego,,0.35,,,,,smith,False,,,0.36000000000000004,284.2424153999891,4.329697639053136,18.19094609499221,0,162.97999999992427,-0.07313036700272968,-0.10931391821557668,1896977,1,162.6988266292967,0,9,9,43816,False,300.01999999979967,4.507725699823375,0.09832977731462822
hiperjuego2,1.0,0.0,0.4,,,,smith,True,,,0.0,141.58905739994952,2.087240424847209,7.2103081707230965,0,151.2999999999349,-0.026074707467917235,-0.020815947976857707,803294,2,142.6834827495684,0,6,1,6238,True,151.31999999993488,1.840630631018009,0.05285130489087386
hiperjuego2,1.0,0.0,0.4,,,,smith,True,,,0.0,156.95494389999658,3.5589553060212458,8.339824435994682,0,159.71999999992724,-0.11151095245190301,0.7232775180476095,1044251,2,138.4202647611256,0,6,13,10574,True,159.73999999992722,1.74606641317942,0.06346718754592295
hiperjuego2,1.0,0.0,0.4,,,,smith,False,,,0.0,156.0504435999901,2.295110692904127,8.114693848509468,0,162.33999999992486,-0.15511289552010687,0.0063564715600197275,805208,2,140.81513709594884,0,6,5,10362,True,162.35999999992484,1.9510471644940635,0.04221912641186698
hiperjuego2,1.0,0.0,0.4,,,,smith,False,,,0.0,132.7173810999957,2.37141251315109,6.763695095179887,0,145.69999999994,-0.10330100722583446,0.4853581539309211,798202,2,141.66938699856024,0,6,17,8038,True,145.71999999993997,1.572426234954495,0.059592275264348515
hiperjuego2,1.0,0.35,0.4,,,,smith,True,,,0.0,235.34927219996462,2.3050888523899036,12.470333135774801,0,91.31999999998943,-0.17898703648652964,0.9706020231074826,1624893,1,141.83906022160315,0,18,9,6507,False,300.01999999979967,1.3751715645208111,0.14826466571247077
hiperjuego2,1.0,0.35,0.4,,,,smith,False,,,0.0,114.46129589999327,2.087240424847209,7.2103081707230965,1,151.2999999999349,-0.026074707467917235,-0.020815947976857707,803294,2,142.6834827495684,0,6,1,6238,True,151.31999999993488,1.840630631018009,0.05285130489087386
