experiment,world_id,world_seed,replicate,scenario,scenario_label,capacity_mode,capacity_label,capacity_sigma,capacity_cv,N,K,M,reserve_delta,hungarian_declared_feasible,hungarian_capacity_feasible,hungarian_false_feasible,hungarian_total_shortfall_kg,hungarian_minimum_margin_kg,hungarian_mean_margin_kg,milp_feasible,milp_optimal_certified,milp_mip_gap,milp_rescues_false_feasible,milp_solver_ms,milp_error
heterogeneity,0366e68020446b361e35,2309597083,8,uniform,Aleatorio,moderate,Moderada,0.35,0.3963341157521922,18,4,12,0.2,True,False,True,1.9564939879405188,-1.9564939879405188,2.184449947515171,True,True,0.0,True,7.6042,
heterogeneity,0366e68020446b361e35,2309597083,8,uniform,Aleatorio,high,Alta,0.65,0.6925660271100541,18,4,12,0.2,True,False,True,4.361262801268993,-2.3852712086894705,0.21040363970700837,True,True,0.0,True,17.4432,
heterogeneity,0366e68020446b361e35,2309597083,8,uniform,Aleatorio,extreme,Extrema,1.0,0.8178974674434443,18,4,12,0.2,True,True,False,0.0,1.0022087321931963,3.982778238979454,True,True,0.0,False,2.899,
heterogeneity,cc3e03a06ed9c437acc2,2045371390,9,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.339433606755005,1.2723719309204777,True,True,0.0,False,1.4429,
heterogeneity,cc3e03a06ed9c437acc2,2045371390,9,uniform,Aleatorio,low,Baja,0.15,0.13714551644427994,18,4,12,0.2,True,False,True,2.654587015147289,-1.5057821906184081,0.7046996849098648,True,True,0.0,True,11.5325,
heterogeneity,cc3e03a06ed9c437acc2,2045371390,9,uniform,Aleatorio,moderate,Moderada,0.35,0.43756014244750324,18,4,12,0.2,True,False,True,0.4190297673360597,-0.4190297673360597,2.1915411556717626,True,True,0.0,True,20.1324,
heterogeneity,cc3e03a06ed9c437acc2,2045371390,9,uniform,Aleatorio,high,Alta,0.65,0.6229676245393795,18,4,12,0.2,True,False,True,5.986841382190004,-5.1705603697350995,0.7982105886440155,True,True,0.0,True,23.2189,
heterogeneity,cc3e03a06ed9c437acc2,2045371390,9,uniform,Aleatorio,extreme,Extrema,1.0,0.9939853178693591,18,4,12,0.2,True,False,True,13.03746694143194,-9.790225306473694,2.624455135750525,True,True,0.0,True,24.344,
heterogeneity,4b9511207d88ba162ee2,197953869,10,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.46475162931936964,1.9108938887250697,True,True,0.0,False,1.6524,
heterogeneity,4b9511207d88ba162ee2,197953869,10,uniform,Aleatorio,low,Baja,0.15,0.14244060515923218,18,4,12,0.2,True,False,True,1.0567600298796673,-1.0567600298796673,2.0722694358876783,True,True,0.0,True,5.2751,
