seed,radius_m,speed_mps,omega_rad_s,feasible,naive_feasible,false_feasible,margin,utilization,limiting_robot,limiting_wheel
63100,0.2,0.3,0.325,1,1,0,0.257793853937753,0.742206146062247,r4,right
63100,0.2,0.3,0.35000000000000003,1,1,0,0.25381675671028514,0.7461832432897149,r4,right
63100,0.2,0.3,0.375,1,1,0,0.2494674801557477,0.7505325198442523,r4,right
63100,0.2,0.3,0.4,1,1,0,0.24473979673175783,0.7552602032682422,r4,right
63100,0.2,0.3,0.42500000000000004,1,1,0,0.23962844102728165,0.7603715589727184,r4,right
63100,0.2,0.3,0.45,1,1,0,0.23412910646329144,0.7658708935367086,r4,right
63100,0.2,0.3,0.47500000000000003,1,1,0,0.22823843515694153,0.7717615648430585,r4,right
63100,0.2,0.3,0.5,1,1,0,0.221954001416383,0.778045998583617,r4,right
63100,0.2,0.3,0.525,1,1,0,0.21527428939055737,0.7847257106094426,r4,right
63100,0.2,0.3,0.55,1,1,0,0.20819866544209986,0.7918013345579001,r4,right
63100,0.2,0.3,0.5750000000000001,1,1,0,0.20072734584205987,0.7992726541579401,r4,right
63100,0.2,0.3,0.6000000000000001,1,1,0,0.19286136040301316,0.8071386395969868,r4,right
63100,0.2,0.3,0.625,1,1,0,0.18460251267310868,0.8153974873268913,r4,right
63100,0.2,0.3,0.65,1,1,0,0.17595333730866292,0.8240466626913371,r4,right
63100,0.2,0.3,0.675,1,1,0,0.16691705522830347,0.8330829447716965,r4,right
63100,0.2,0.3,0.7000000000000001,1,1,0,0.15749752712862586,0.8425024728713741,r4,right
63100,0.2,0.3,0.7250000000000001,1,1,0,0.1476992059112494,0.8523007940887506,r4,right
63100,0.2,0.3,0.75,1,1,0,0.13752708853539253,0.8624729114646075,r4,right
63100,0.2,0.3,0.775,1,1,0,0.12698666776996304,0.873013332230037,r4,right
63100,0.2,0.3,0.8,1,1,0,0.1160838842759635,0.8839161157240365,r4,right
63100,0.2,0.3,0.8250000000000001,1,1,0,0.1048250794049107,0.8951749205950893,r4,right
63100,0.2,0.3,0.8500000000000001,1,1,0,0.09321694905304567,0.9067830509469543,r4,right
63100,0.2,0.3,0.875,1,1,0,0.08126649886531034,0.9187335011346897,r4,right
63100,0.2,0.3,0.9,1,1,0,0.0689810010382006,0.9310189989617994,r4,right
63100,0.2,0.3,0.925,1,1,0,0.056367952927368736,0.9436320470726313,r4,right
63100,0.2,0.3,0.9500000000000001,1,1,0,0.04343503762478029,0.9565649623752197,r4,right
63100,0.2,0.3,0.9750000000000001,1,1,0,0.030190086631770918,0.9698099133682291,r4,right
63100,0.2,0.3,1.0,1,1,0,0.0166410447188009,0.9833589552811991,r4,right
63100,0.2,0.3,1.0250000000000001,0,1,1,-0.031350033883489115,1.0313500338834891,r3,left
63100,0.2,0.3,1.05,0,1,1,-0.1074104361947461,1.107410436194746,r3,left
63100,0.2,0.3,1.075,0,1,1,-0.1948518020988219,1.194851802098822,r3,left
63100,0.2,0.3,1.1,0,1,1,-0.2958080622693715,1.2958080622693715,r3,left
63100,0.2,0.3,1.125,0,1,1,-0.4129821955596862,1.4129821955596862,r3,left
63100,0.2,0.3,1.1500000000000001,0,1,1,-0.5498494604954338,1.5498494604954338,r3,left
63100,0.2,0.3,1.175,0,1,1,-0.7109544259178644,1.7109544259178644,r3,left
63100,0.2,0.3,1.2000000000000002,0,1,1,-0.9023565169486527,1.9023565169486527,r3,left
63100,0.2,0.3,1.225,0,1,1,-1.1323185860264369,2.132318586026437,r3,left
63100,0.2,0.3,1.25,0,1,1,-1.412408626565318,2.412408626565318,r3,left
63100,0.2,0.3,1.2750000000000001,0,1,1,-1.7593359623856677,2.7593359623856677,r3,left
63100,0.2,0.3,1.3,0,1,1,-2.198164579218023,3.198164579218023,r3,left
63100,0.2,0.3,1.3250000000000002,0,1,1,-2.768280740353263,3.768280740353263,r3,left
63100,0.2,0.3,1.35,0,1,1,-3.5353282179428023,4.535328217942802,r3,left
63100,0.2,0.3,1.375,0,1,1,-4.617465801859247,5.617465801859247,r3,left
63100,0.2,0.3,1.4000000000000001,0,1,1,-6.2510110718477705,7.2510110718477705,r3,left
63100,0.2,0.3,1.425,0,1,1,-8.987371713980442,9.987371713980442,r3,left
63100,0.2,0.3,1.4500000000000002,0,0,0,-14.480770786473512,15.480770786473512,r3,left
63100,0.2,0.3,1.475,0,0,0,-31.002323580408238,32.00232358040824,r3,left
63100,0.2,0.3,1.5,0,0,0,-0.306064826083289,1.306064826083289,r4,right
63100,0.4,0.0,0.0,1,1,0,1.0,0.0,r1,none
63100,0.4,0.0,0.025,1,1,0,0.9664043455809243,0.03359565441907575,r4,right
63100,0.4,0.0,0.05,1,1,0,0.9328086911618485,0.0671913088381515,r4,right
63100,0.4,0.0,0.07500000000000001,1,1,0,0.8992130367427728,0.10078696325722726,r4,right
63100,0.4,0.0,0.1,1,1,0,0.865617382323697,0.134382617676303,r4,right
63100,0.4,0.0,0.125,1,1,0,0.8320217279046213,0.16797827209537874,r4,right
63100,0.4,0.0,0.15000000000000002,1,1,0,0.7984260734855455,0.20157392651445452,r4,right
63100,0.4,0.0,0.17500000000000002,1,1,0,0.7648304190664698,0.23516958093353027,r4,right
63100,0.4,0.0,0.2,1,1,0,0.731234764647394,0.268765235352606,r4,right
63100,0.4,0.0,0.225,1,1,0,0.6976391102283183,0.30236088977168174,r4,right
63100,0.4,0.0,0.25,1,1,0,0.6640434558092425,0.3359565441907575,r4,right
