seed,dispersion_m,pressure,scalar_feasible,bilateral_feasible,supported_feasible,scalar_false_feasible,bilateral_false_feasible,supported_utilization,wrench_residual,internal_force_ratio,limiting_robot
63202,0.6,1.0,1,1,1,0,0,0.6850111257935857,4.440892098500626e-16,0.293223678419257,r2
63202,0.6,1.2,1,1,1,0,0,0.8220133509523025,2.4223047810003414e-16,0.2932236784192567,r2
63202,0.8,0.2,1,1,1,0,0,0.13184715706475492,8.427602050563688e-16,0.27695996694068864,r3
63202,0.8,0.4,1,1,1,0,0,0.26369431412950983,1.6855204101127376e-15,0.27695996694068864,r3
63202,0.8,0.6,1,1,1,0,0,0.39554147119426464,2.119516683375299e-16,0.2769599669406869,r3
63202,0.8,0.8,1,1,1,0,0,0.5273886282590197,3.3710408202254753e-15,0.27695996694068864,r3
63202,0.8,1.0,1,1,1,0,0,0.6592357853237742,2.220446049250313e-15,0.2769599669406874,r3
63202,0.8,1.2,1,1,1,0,0,0.7910829423885293,4.239033366750598e-16,0.2769599669406869,r3
63203,0.2,0.2,1,1,1,0,0,0.23258022415292035,5.046468293750712e-18,0.4047921991065538,r1
63203,0.2,0.4,1,1,1,0,0,0.4651604483058407,1.0092936587501423e-17,0.4047921991065538,r1
63203,0.2,0.6,1,1,1,0,0,0.6977406724587637,0.0,0.40479219910655173,r1
63203,0.2,0.8,1,1,1,0,0,0.9303208966116814,2.0185873175002847e-17,0.4047921991065538,r1
63203,0.2,1.0,1,1,0,1,1,1.1629011207646016,0.0,0.4047921991065539,r1
63203,0.2,1.2,1,1,0,1,1,1.3954813449175274,0.0,0.40479219910655173,r1
63203,0.4,0.2,1,1,1,0,0,0.153856160831515,1.688043644259613e-15,0.3569838236322309,r2
63203,0.4,0.4,1,1,1,0,0,0.30771232166303,3.376087288519226e-15,0.3569838236322309,r2
63203,0.4,0.6,1,1,1,0,0,0.46156848249455323,1.6047769174127263e-15,0.3569838236322343,r4
63203,0.4,0.8,1,1,1,0,0,0.61542464332606,6.752174577038452e-15,0.3569838236322309,r2
63203,0.4,1.0,1,1,1,0,0,0.7692808041575974,3.5123419324504953e-15,0.35698382363223513,r4
63203,0.4,1.2,1,1,1,0,0,0.9231369649891065,3.2095538348254527e-15,0.3569838236322343,r4
63203,0.6,0.2,1,1,1,0,0,0.13798736439292955,7.569702440626067e-18,0.29865544597569676,r1
63203,0.6,0.4,1,1,1,0,0,0.2759747287858591,1.5139404881252134e-17,0.29865544597569676,r1
63203,0.6,0.6,1,1,1,0,0,0.4139620931787839,3.936669574820438e-17,0.29865544597570437,r2
63203,0.6,0.8,1,1,1,0,0,0.5519494575717182,3.027880976250427e-17,0.29865544597569676,r1
63203,0.6,1.0,1,1,1,0,0,0.6899368219646391,6.055761952500853e-17,0.29865544597570987,r2
63203,0.6,1.2,1,1,1,0,0,0.8279241863575678,7.873339149640876e-17,0.29865544597570437,r2
63203,0.8,0.2,1,1,1,0,0,0.13229362610412004,5.551115123125783e-17,0.27915392693171637,r1
63203,0.8,0.4,1,1,1,0,0,0.2645872522082401,1.1102230246251565e-16,0.27915392693171637,r1
63203,0.8,0.6,1,1,1,0,0,0.3968808783123623,5.652044489000797e-16,0.27915392693171637,r1
63203,0.8,0.8,1,1,1,0,0,0.5291745044164802,2.220446049250313e-16,0.27915392693171637,r1
63203,0.8,1.0,1,1,1,0,0,0.6614681305205947,6.248139138496568e-17,0.27915392693171737,r3
63203,0.8,1.2,1,1,1,0,0,0.7937617566247246,1.1304088978001594e-15,0.27915392693171637,r1
63204,0.2,0.2,1,1,1,0,0,0.2216885847383048,0.0,0.43549442100219504,r1
63204,0.2,0.4,1,1,1,0,0,0.4433771694766096,0.0,0.43549442100219504,r1
63204,0.2,0.6,1,1,1,0,0,0.6650657542149158,3.9341711007205175e-17,0.4354944210021955,r1
63204,0.2,0.8,1,1,1,0,0,0.8867543389532192,0.0,0.43549442100219504,r1
63204,0.2,1.0,1,1,0,1,1,1.1084429236915243,4.0371746350005693e-17,0.43549442100219543,r1
63204,0.2,1.2,1,1,0,1,1,1.3301315084298315,7.868342201441035e-17,0.4354944210021955,r1
63204,0.4,0.2,1,1,1,0,0,0.15005879040378994,2.119516683375299e-16,0.3185009042695735,r2
63204,0.4,0.4,1,1,1,0,0,0.3001175808075799,4.239033366750598e-16,0.3185009042695735,r2
63204,0.4,0.6,1,1,1,0,0,0.4501763712113706,1.6148698540002277e-16,0.31850090426957145,r2
63204,0.4,0.8,1,1,1,0,0,0.6002351616151598,8.478066733501196e-16,0.3185009042695735,r2
63204,0.4,1.0,1,1,1,0,0,0.7502939520189521,8.074349270001139e-17,0.3185009042695721,r4
63204,0.4,1.2,1,1,1,0,0,0.9003527424227412,3.2297397080004555e-16,0.31850090426957145,r2
63204,0.6,0.2,1,1,1,0,0,0.1401010069996475,2.0185873175002847e-17,0.330653637038437,r2
63204,0.6,0.4,1,1,1,0,0,0.280202013999295,4.0371746350005693e-17,0.330653637038437,r2
63204,0.6,0.6,1,1,1,0,0,0.42030302099894246,4.0371746350005693e-17,0.33065363703843687,r2
63204,0.6,0.8,1,1,1,0,0,0.56040402799859,8.074349270001139e-17,0.330653637038437,r2
