v3_registry_id,identity_key,candidate_ids,title,authors,year,venue,doi,abstract,document_type,discovery_origins,provenance_sources,provenance_queries,legacy_screening_decisions,legacy_fulltext_status,legacy_evidence_status,metadata_status,v3_screening_status,v3_screening_reason,v3_allowed_use,duplicate_alias_count
C192B5B59DFB3,doi:10.1109/ccaa.2015.7148524,C192B5B59DFB3,A brief survey and analysis of multi-robot communication and coordination,Rajesh Doriya; Siddharth Mishra; Swati Gupta,2015,,10.1109/ccaa.2015.7148524,,conference-paper,historical_seed,openalex;openalex_snowball,SB_B_C8620A2DF94BF,include_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C86B53A9ADCB5,title-year:a broadcast based coordination scheme for a system of autonomous mobile robots|1994,C86B53A9ADCB5,A broadcast-based coordination scheme for a system of autonomous mobile robots,Kimberly Sharman,1994,VTechWorks (Virginia Tech),,,,v3_open_discovery,openalex,F05:foundational,,,not_evidence,metadata_verified,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C644BA21D151C,doi:10.1002/rob.70140,C644BA21D151C,A Cascaded Strategy With Embodied Artificial Intelligence: Forward Kinematics Solutions for CCRobot‐S,Zhenliang Zheng; Yongyuan Xu; Xuchun He; Tin Lun Lam; Ning Ding,2025,Journal of Field Robotics,10.1002/rob.70140,,article,historical_seed,openalex;stage1c_query_repair,Q14_force_wrench,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CCE230CCE7507,doi:10.1109/mra.2006.1678143,CCE230CCE7507,A case study of fuzzy-logic-based robot navigation,Kimon P. Valavanis; Lefteris Doitsidis; M.T. Long; Robin R. Murphy,2006,IEEE Robotics & Automation Magazine,10.1109/mra.2006.1678143,,article,historical_seed,openalex;openalex_snowball,SB_F_CCE288522BB14,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C58FD63E3F184,doi:10.1109/access.2023.3315130,C58FD63E3F184,A Centralized Task Allocation Algorithm for a Multi-Robot Inspection Mission With Sensing Specifications,Hamza Chakraa; Edouard Leclercq; F. Guérin; Dimitri Lefebvre,2023,IEEE Access,10.1109/access.2023.3315130,,article,historical_seed,openalex;openalex_snowball;stage1c_recall,SB_B_C8E901D1895BA,include_fulltext,acquired_pdf,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CFC256848AFCB,doi:10.1007/bf01737559,CFC256848AFCB,A class of games possessing pure-strategy Nash equilibria,Robert W. Rosenthal,1973,International Journal of Game Theory,10.1007/bf01737559,,article,historical_seed,openalex;openalex_snowball;stage1c_recall,SB_B_C4BF0C9CC85AB,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C45F5123CB722,doi:10.1109/access.2020.3037357,C45F5123CB722,A Classification of the Enabling Techniques for Low Latency and Reliable Communications in 5G and Beyond: AI-Enabled Edge Caching,Lilian C. Mutalemwa; Seokjoo Shin,2020,IEEE Access,10.1109/access.2020.3037357,,article,historical_seed,openalex,Q6_network_imperfect,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C5603AB6CF5A0,doi:10.2139/ssrn.6623541,C5603AB6CF5A0,A Closed-Loop Coordination Method for Multi-Robot Allocation and Execution in Continuous Wall Construction,Zihao Guo; Liangxi Xie,2026,SSRN Electronic Journal,10.2139/ssrn.6623541,,preprint,historical_seed,openalex;openalex_snowball,SB_F_C3EF72778D75A,include_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C7EC057F66081,doi:10.1109/pdp.2014.87,C7EC057F66081,A Cluster-Based Approach to Consensus Based Distributed Task Allocation,Darren Hurley-Smith; Jodie Wetherall; S.R. Woodhead; Andrew Adekunle,2014,,10.1109/pdp.2014.87,,conference-paper,historical_seed,openalex;openalex_snowball;stage1c_recall,SB_B_C55AEC4EE9876,maybe_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CF006FE6B055B,doi:10.1109/iwcmc.2017.7986575,CF006FE6B055B,A coalition formation algorithm for Multi-Robot Task Allocation in large-scale natural disasters,Carla Mouradian; Jagruti Sahoo; Roch H. Glitho; Monique J. Morrow; Paul A. Polakos,2017,2017 13th International Wireless Communications and Mobile Computing Conference (IWCMC),10.1109/iwcmc.2017.7986575,"In large-scale natural disasters, humans are likely to fail when they attempt to reach high-risk sites or act in search and rescue operations. Robots, however, outdo their counterparts in surviving the hazards and handling the search and rescue missions due to their multiple and diverse sensing and actuation capabilities. The dynamic formation of optimal coalition of these heterogeneous robots for cost efficiency is very challenging and research in the area is gaining more and more attention. In this paper, we propose a novel heuristic. Since the population of robots in large-scale disaster settings is very large, we rely on Quantum Multi-Objective Particle Swarm Optimization (QMOPSO). The problem is modeled as a multi-objective optimization problem. Simulations with different test cases and metrics, and comparison with other algorithms such as NSGA-II and SPEA-II are carried out. The experimental results show that the proposed algorithm outperforms the existing algorithms not only in terms of convergence but also in terms of diversity and processing time.",proceedings-article,historical_seed;v3_open_discovery,crossref;wos:F01_primary_wos_plaintext_full_record_cited_references.txt;openalex_snowball;openalex,Q1_coalition_transport;F01_primary;SB_B_C85B2ACA511C4;F01:primary,include_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,1
