world_hash,instance_hash,regime,n_coalitions,n_robots,seed,communication_edges,mean_degree,max_degree,components,connected,algebraic_connectivity,profile_space,oracle_certified,exact_identity_exhaustively_checked,exact_network_potential_verified,strict_potential_monotonicity,better_response_visible_nash,strict_moves,finite_move_bound,catalogue_has_conflict_free_profile,single_message_failure_probability,failure_after_five_retransmissions
46027f1c75a2e7e28f16a2fc2c3bf8c10bd3b952c2f31b1a631c8709b3a89dcd,7077ff0bca1159de255ffe791a4709920764e4502c34fd464cb260ab07d1f7f1,harsh_combined,4,8,8807,2,1.0,2,2,False,0.0,16,True,True,True,True,True,1,15,True,0.35,0.005252187499999998
4a0eff0a084ba7dfedea436af000722af9ba86446beb4443c91b653c5782ac36,14224494f24559779e54224107d7b310234e9148996847f562bc7f2f764f1ec2,nominal,4,8,8808,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.0,0.0
cb2a9b19da9c588a0bffa1a02e3ca0cf560f370a945ad9dcc218193b8e94cd8d,14224494f24559779e54224107d7b310234e9148996847f562bc7f2f764f1ec2,sparse_radio,4,8,8808,0,0.0,0,4,False,0.0,16,True,True,True,True,True,1,15,True,0.0,0.0
fda0e0d5cf44c2169ccdc8e44ff12c3cf36b795a3f14cde50e0c2e8c2ecf1e22,14224494f24559779e54224107d7b310234e9148996847f562bc7f2f764f1ec2,bounded_delay,4,8,8808,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.0,0.0
d755342a525c23b2517532e669acc865cc6ef43a42bdef94ff878a1f7b700945,14224494f24559779e54224107d7b310234e9148996847f562bc7f2f764f1ec2,independent_loss,4,8,8808,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.25,0.0009765625
bf277ed83059b6eefb90f331b39fbf8bc89a946da5750ed979dcadbca61f97f2,14224494f24559779e54224107d7b310234e9148996847f562bc7f2f764f1ec2,harsh_combined,4,8,8808,0,0.0,0,4,False,0.0,16,True,True,True,True,True,1,15,True,0.35,0.005252187499999998
d1967779d393af5712357fcbb389bbedbe5c7f4b1f447058829ee5d3d9e21f9c,61d51dc7aeea5ff6e9cd6d4d21a5ed2023c5314f2e958790c7a3338a469725f4,nominal,4,8,8809,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.0,0.0
e67308af9bb7c4efe837fcb4a5162f00c505eb4fa666726ad6426129586ab2d7,61d51dc7aeea5ff6e9cd6d4d21a5ed2023c5314f2e958790c7a3338a469725f4,sparse_radio,4,8,8809,0,0.0,0,4,False,0.0,16,True,True,True,True,True,2,15,True,0.0,0.0
5b7a7a85b4e5c3f437a392bf5bb35906500d5713600e3a1b5b647d6989d96db7,61d51dc7aeea5ff6e9cd6d4d21a5ed2023c5314f2e958790c7a3338a469725f4,bounded_delay,4,8,8809,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.0,0.0
ae04c703d5a9afc1ae2a9bfcff729a74d744cab595ac69739d8e271af568daa6,61d51dc7aeea5ff6e9cd6d4d21a5ed2023c5314f2e958790c7a3338a469725f4,independent_loss,4,8,8809,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.25,0.0009765625
91db6f83e1438124292a470d3acbf7605c486d92f9edd98fb5ff70de8d512234,61d51dc7aeea5ff6e9cd6d4d21a5ed2023c5314f2e958790c7a3338a469725f4,harsh_combined,4,8,8809,0,0.0,0,4,False,0.0,16,True,True,True,True,True,2,15,True,0.35,0.005252187499999998
06df08e2491c676f34eb1296e1cc812e0d9efc115ba06f830584ccf93d7d1a9b,40881c9847cade1a32ac586063fdd7651b55ea8674456c985662d6fc0e5a13ce,nominal,4,8,8810,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,0,15,True,0.0,0.0
3fe44d6f5a8900a1680bdb22045f1337cfcdfb80b2c485b1f2b9cdd90a1a5742,40881c9847cade1a32ac586063fdd7651b55ea8674456c985662d6fc0e5a13ce,sparse_radio,4,8,8810,1,0.5,1,3,False,0.0,16,True,True,True,True,True,0,15,True,0.0,0.0
